"","label","replace.by"
"1322","INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA","Clinical Medicine"
"1323","Minerva Anestesiologica","Clinical Medicine"
"1324","Reproductive Health","Clinical Medicine"
"1325","Reproductive Health","Clinical Medicine"
"1326","European Journal of Emergency Medicine","Clinical Medicine"
"1327","CURRENT EYE RESEARCH","Clinical Medicine"
"1328","JOURNAL OF PALLIATIVE MEDICINE","Clinical Medicine"
"1329","FAMILY PRACTICE","Clinical Medicine"
"1330","Current Problems in Pediatric and Adolescent Health Care","Clinical Medicine"
"1331","OTOLARYNGOLOGY-HEAD AND NECK SURGERY","Clinical Medicine"
"1332","JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION","Clinical Medicine"
"1333","CANCER NURSING","Clinical Medicine"
"1334","CANCER NURSING","Clinical Medicine"
"1335","BLOOD PRESSURE","Clinical Medicine"
"1336","ACTA RADIOLOGICA","Clinical Medicine"
"1337","CURRENT OPINION IN UROLOGY","Clinical Medicine"
"1338","Gut and Liver","Clinical Medicine"
"1339","LUNG","Clinical Medicine"
"1340","ORAL DISEASES","Clinical Medicine"
"1341","CARDIOLOGY","Clinical Medicine"
"1342","ARTIFICIAL ORGANS","Clinical Medicine"
"1343","GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY","Clinical Medicine"
"1344","Journal of the American Board of Family Medicine","Clinical Medicine"
"1345","JOURNAL OF BIOMATERIALS APPLICATIONS","Clinical Medicine"
"1346","BMC Complementary and Alternative Medicine","Clinical Medicine"
"1347","MAGNETIC RESONANCE IMAGING","Clinical Medicine"
"1348","JOURNAL OF STRENGTH AND CONDITIONING RESEARCH","Clinical Medicine"
"1349","CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS","Clinical Medicine"
"1350","ARCHIVES OF GERONTOLOGY AND GERIATRICS","Clinical Medicine"
"1351","ACADEMIC RADIOLOGY","Clinical Medicine"
"1352","NEOPLASMA","Clinical Medicine"
"1353","American Journal of Rhinology & Allergy","Clinical Medicine"
"1354","SCIENCE & JUSTICE","Clinical Medicine"
"1355","Surgical Oncology Clinics of North America","Clinical Medicine"
"1356","SEMINARS IN DIAGNOSTIC PATHOLOGY","Clinical Medicine"
"1357","ULTRASONICS","Clinical Medicine"
"1358","Advances in Experimental Medicine and Biology","Clinical Medicine"
"1359","OTOLOGY & NEUROTOLOGY","Clinical Medicine"
"1360","HIV CLINICAL TRIALS","Clinical Medicine"
"1361","FORENSIC SCIENCE INTERNATIONAL","Clinical Medicine"
"1362","Clinical and Experimental Nephrology","Clinical Medicine"
"1363","International Journal of Mental Health Nursing","Clinical Medicine"
"1364","International Journal of Mental Health Nursing","Clinical Medicine"
"1365","PATHOLOGY & ONCOLOGY RESEARCH","Clinical Medicine"
"1366","International Heart Journal","Clinical Medicine"
"1367","Tobacco Induced Diseases","Clinical Medicine"
"1368","Tobacco Induced Diseases","Clinical Medicine"
"1369","DERMATOLOGIC SURGERY","Clinical Medicine"
"1370","Journal of Lower Genital Tract Disease","Clinical Medicine"
"1371","COMPLEMENTARY THERAPIES IN MEDICINE","Clinical Medicine"
"1372","Hepatitis Monthly","Clinical Medicine"
"1373","Evidence-based Complementary and Alternative Medicine","Clinical Medicine"
"1374","JOURNAL OF ORAL REHABILITATION","Clinical Medicine"
"1375","Scandinavian Journal of Surgery","Clinical Medicine"
"1376","Respiratory Care","Clinical Medicine"
"1377","Breast Journal","Clinical Medicine"
"1378","DENTOMAXILLOFACIAL RADIOLOGY","Clinical Medicine"
"1379","JOURNAL OF ADVANCED NURSING","Clinical Medicine"
"1380","JOURNAL OF ADVANCED NURSING","Clinical Medicine"
"1381","BMC Cardiovascular Disorders","Clinical Medicine"
"1382","Current Opinion in Anesthesiology","Clinical Medicine"
"1383","International Journal of Rheumatic Diseases","Clinical Medicine"
"1384","EARLY HUMAN DEVELOPMENT","Clinical Medicine"
"1385","SEMINARS IN DIALYSIS","Clinical Medicine"
"1386","Applied Physiology Nutrition and Metabolism","Clinical Medicine"
"1387","INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED","Clinical Medicine"
"1388","POSTGRADUATE MEDICINE","Clinical Medicine"
"1389","BURNS","Clinical Medicine"
"1390","Therapeutics and Clinical Risk Management","Clinical Medicine"
"1391","PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE","Clinical Medicine"
"1392","FOOT & ANKLE INTERNATIONAL","Clinical Medicine"
"1393","Forensic Science Medicine and Pathology","Clinical Medicine"
"1394","ANTICANCER RESEARCH","Clinical Medicine"
"1395","Diagnostic Pathology","Clinical Medicine"
"1396","Journal of Gastrointestinal and Liver Diseases","Clinical Medicine"
"1397","JAPANESE JOURNAL OF CLINICAL ONCOLOGY","Clinical Medicine"
"1398","Journal of Digestive Diseases","Clinical Medicine"
"1399","OPHTHALMIC GENETICS","Clinical Medicine"
"1400","DIGESTION","Clinical Medicine"
"1401","JOURNAL OF THROMBOSIS AND THROMBOLYSIS","Clinical Medicine"
"1402","INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING","Clinical Medicine"
"1403","INTERNATIONAL JOURNAL OF UROLOGY","Clinical Medicine"
"1404","AMERICAN FAMILY PHYSICIAN","Clinical Medicine"
"1405","AMERICAN JOURNAL OF HUMAN BIOLOGY","Clinical Medicine"
"1406","AMERICAN JOURNAL OF HUMAN BIOLOGY","Clinical Medicine"
"1407","DERMATOLOGIC CLINICS","Clinical Medicine"
"1408","Clinics and Research in Hepatology and Gastroenterology","Clinical Medicine"
"1409","Annals of Laboratory Medicine","Clinical Medicine"
"1410","CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING","Clinical Medicine"
"1411","MANUAL THERAPY","Clinical Medicine"
"1412","JOURNAL OF TRAVEL MEDICINE","Clinical Medicine"
"1413","Journal of Hand Surgery-European Volume","Clinical Medicine"
"1414","BIRTH-ISSUES IN PERINATAL CARE","Clinical Medicine"
"1415","BIRTH-ISSUES IN PERINATAL CARE","Clinical Medicine"
"1416","MIDWIFERY","Clinical Medicine"
"1417","MIDWIFERY","Clinical Medicine"
"1418","INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS","Clinical Medicine"
"1419","JOURNAL OF ORAL PATHOLOGY & MEDICINE","Clinical Medicine"
"1420","Trials","Clinical Medicine"
"1421","Clinical Trials","Clinical Medicine"
"1422","JOURNAL OF ASSISTED REPRODUCTION AND GENETICS","Clinical Medicine"
"1423","JOURNAL OF DERMATOLOGICAL TREATMENT","Clinical Medicine"
"1424","NURSING RESEARCH","Clinical Medicine"
"1425","NURSING RESEARCH","Clinical Medicine"
"1426","JOURNAL OF ASTHMA","Clinical Medicine"
"1427","Journal of Breast Cancer","Clinical Medicine"
"1428","Magnetic Resonance Imaging Clinics of North America","Clinical Medicine"
"1429","INTERNATIONAL JOURNAL OF HEMATOLOGY","Clinical Medicine"
"1430","CLINICAL TRANSPLANTATION","Clinical Medicine"
"1431","Modern Rheumatology","Clinical Medicine"
"1432","BRITISH JOURNAL OF RADIOLOGY","Clinical Medicine"
"1433","JOURNAL OF ORTHOPAEDIC TRAUMA","Clinical Medicine"
"1434","EMERGENCY MEDICINE JOURNAL","Clinical Medicine"
"1435","UROLOGIC CLINICS OF NORTH AMERICA","Clinical Medicine"
"1436","INTERNATIONAL UROGYNECOLOGY JOURNAL","Clinical Medicine"
"1437","CORNEA","Clinical Medicine"
"1438","Journal of Geriatric Physical Therapy","Clinical Medicine"
"1439","Current Cardiology Reports","Clinical Medicine"
"1440","Current Oncology","Clinical Medicine"
"1441","International Journal of Computer Assisted Radiology and Surgery","Clinical Medicine"
"1442","CURRENT PROBLEMS IN SURGERY","Clinical Medicine"
"1443","BRAIN INJURY","Clinical Medicine"
"1444","BRAIN INJURY","Clinical Medicine"
"1445","JOURNAL OF CLINICAL MONITORING AND COMPUTING","Clinical Medicine"
"1446","Journal of Neurogastroenterology and Motility","Clinical Medicine"
"1447","Annals of Hepatology","Clinical Medicine"
"1448","CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","Clinical Medicine"
"1449","Physiotherapy","Clinical Medicine"
"1450","BMC Pediatrics","Clinical Medicine"
"1451","Archives of Medical Science","Clinical Medicine"
"1452","International Journal of Clinical Oncology","Clinical Medicine"
"1453","JOURNAL OF PERINATAL MEDICINE","Clinical Medicine"
"1454","NEPHROLOGY","Clinical Medicine"
"1455","RADIOLOGIC CLINICS OF NORTH AMERICA","Clinical Medicine"
"1456","EUROPEAN JOURNAL OF CANCER CARE","Clinical Medicine"
"1457","EUROPEAN JOURNAL OF CANCER CARE","Clinical Medicine"
"1458","CLEVELAND CLINIC JOURNAL OF MEDICINE","Clinical Medicine"
"1459","EUROPEAN JOURNAL OF PEDIATRICS","Clinical Medicine"
"1460","Telemedicine and e-Health","Clinical Medicine"
"1461","MEMORIAS DO INSTITUTO OSWALDO CRUZ","Clinical Medicine"
"1462","European Journal of Sport Science","Clinical Medicine"
"1463","JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","Clinical Medicine"
"1464","CRITICAL CARE CLINICS","Clinical Medicine"
"1465","Adicciones","Clinical Medicine"
"1466","Adicciones","Clinical Medicine"
"1467","DIGESTIVE DISEASES","Clinical Medicine"
"1468","AUDIOLOGY AND NEURO-OTOLOGY","Clinical Medicine"
"1469","SKIN RESEARCH AND TECHNOLOGY","Clinical Medicine"
"1470","Journal of Family Nursing","Clinical Medicine"
"1471","Journal of Family Nursing","Clinical Medicine"
"1472","RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY","Clinical Medicine"
"1473","ARCHIVOS DE BRONCONEUMOLOGIA","Clinical Medicine"
"1474","Journal of Hand Therapy","Clinical Medicine"
"1475","JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","Clinical Medicine"
"1476","Heart Failure Clinics","Clinical Medicine"
"1477","Physica Medica-European Journal of Medical Physics","Clinical Medicine"
"1478","Expert Review of Medical Devices","Clinical Medicine"
"1479","Worldviews on Evidence-Based Nursing","Clinical Medicine"
"1480","Worldviews on Evidence-Based Nursing","Clinical Medicine"
"1481","EJNMMI Research","Clinical Medicine"
"1482","Journal of Neurosurgery-Pediatrics","Clinical Medicine"
"1483","CHILD CARE HEALTH AND DEVELOPMENT","Clinical Medicine"
"1484","CHILD CARE HEALTH AND DEVELOPMENT","Clinical Medicine"
"1485","DYSPHAGIA","Clinical Medicine"
"1486","Contact Lens & Anterior Eye","Clinical Medicine"
"1487","Pain Management Nursing","Clinical Medicine"
"1488","Pain Management Nursing","Clinical Medicine"
"1489","JAMA Facial Plastic Surgery","Clinical Medicine"
"1490","Journal of Plastic Reconstructive and Aesthetic Surgery","Clinical Medicine"
"1491","Gastroenterology Research and Practice","Clinical Medicine"
"1492","BMC Endocrine Disorders","Clinical Medicine"
"1493","UPSALA JOURNAL OF MEDICAL SCIENCES","Clinical Medicine"
"1494","AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY","Clinical Medicine"
"1495","Cancer Biomarkers","Clinical Medicine"
"1496","Radiology and Oncology","Clinical Medicine"
"1497","JOURNAL OF RECONSTRUCTIVE MICROSURGERY","Clinical Medicine"
"1498","AMERICAN JOURNAL OF MEDICAL QUALITY","Clinical Medicine"
"1499","ARCHIVES OF ORAL BIOLOGY","Clinical Medicine"
"1500","JOURNAL OF PEDIATRIC SURGERY","Clinical Medicine"
"1501","DIGESTIVE SURGERY","Clinical Medicine"
"1502","Hepatobiliary & Pancreatic Diseases International","Clinical Medicine"
"1503","JOURNAL OF THORACIC IMAGING","Clinical Medicine"
"1504","Asia-Pacific Journal of Clinical Oncology","Clinical Medicine"
"1505","Parkinsons Disease","Clinical Medicine"
"1506","Reproductive Biology","Clinical Medicine"
"1507","Journal of Nursing Management","Clinical Medicine"
"1508","Journal of Nursing Management","Clinical Medicine"
"1509","Infectious Agents and Cancer","Clinical Medicine"
"1510","OBSTETRICAL & GYNECOLOGICAL SURVEY","Clinical Medicine"
"1511","Patient Preference and Adherence","Clinical Medicine"
"1512","RHEUMATOLOGY INTERNATIONAL","Clinical Medicine"
"1513","CardioRenal Medicine","Clinical Medicine"
"1514","JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION","Clinical Medicine"
"1515","Journal of Prosthodontic Research","Clinical Medicine"
"1516","STEREOTACTIC AND FUNCTIONAL NEUROSURGERY","Clinical Medicine"
"1517","AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS","Clinical Medicine"
"1518","CLINICS IN LABORATORY MEDICINE","Clinical Medicine"
"1519","TRANSFUSION MEDICINE","Clinical Medicine"
"1520","RHINOLOGY","Clinical Medicine"
"1521","Journal of Sport and Health Science","Clinical Medicine"
"1522","Journal of Sport and Health Science","Clinical Medicine"
"1523","Simulation in Healthcare-Journal of the Society for Simulation in Healthcare","Clinical Medicine"
"1524","BMC MUSCULOSKELETAL DISORDERS","Clinical Medicine"
"1525","EUROPEAN JOURNAL OF MEDICAL RESEARCH","Clinical Medicine"
"1526","INTERNATIONAL JOURNAL OF AUDIOLOGY","Clinical Medicine"
"1527","ARCHIVES OF GYNECOLOGY AND OBSTETRICS","Clinical Medicine"
"1528","KOREAN JOURNAL OF INTERNAL MEDICINE","Clinical Medicine"
"1529","AMERICAN JOURNAL OF PERINATOLOGY","Clinical Medicine"
"1530","JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY","Clinical Medicine"
"1531","INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS","Clinical Medicine"
"1532","Journal of Maternal-Fetal & Neonatal Medicine","Clinical Medicine"
"1533","GYNECOLOGIC AND OBSTETRIC INVESTIGATION","Clinical Medicine"
"1534","ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN","Clinical Medicine"
"1535","BMC MEDICAL IMAGING","Clinical Medicine"
"1536","European Journal of Obstetrics & Gynecology and Reproductive Biology","Clinical Medicine"
"1537","Hormone Research in Paediatrics","Clinical Medicine"
"1538","Journal of Cardiovascular Medicine","Clinical Medicine"
"1539","International Journal of Surgery","Clinical Medicine"
"1540","Journal of Tissue Viability","Clinical Medicine"
"1541","Journal of Tissue Viability","Clinical Medicine"
"1542","PM&R","Clinical Medicine"
"1543","Journal of Neurosurgical Sciences","Clinical Medicine"
"1544","Journal of Thoracic Disease","Clinical Medicine"
"1545","ACTA PAEDIATRICA","Clinical Medicine"
"1546","Chronic Respiratory Disease","Clinical Medicine"
"1547","Breast Care","Clinical Medicine"
"1548","BMC Family Practice","Clinical Medicine"
"1549","JOURNAL OF HAND SURGERY-AMERICAN VOLUME","Clinical Medicine"
"1550","Orthodontics & Craniofacial Research","Clinical Medicine"
"1551","RESEARCH IN NURSING & HEALTH","Clinical Medicine"
"1552","RESEARCH IN NURSING & HEALTH","Clinical Medicine"
"1553","CLINICAL BIOMECHANICS","Clinical Medicine"
"1554","POSTGRADUATE MEDICAL JOURNAL","Clinical Medicine"
"1555","CLINICAL MEDICINE","Clinical Medicine"
"1556","JOURNAL OF CARDIOVASCULAR SURGERY","Clinical Medicine"
"1557","Journal of Cardiopulmonary Rehabilitation and Prevention","Clinical Medicine"
"1558","JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY","Clinical Medicine"
"1559","PHOTOMEDICINE AND LASER SURGERY","Clinical Medicine"
"1560","Population Health Management","Clinical Medicine"
"1561","EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY","Clinical Medicine"
"1562","Progress in Tumor Research","Clinical Medicine"
"1563","NEUROSURGERY CLINICS OF NORTH AMERICA","Clinical Medicine"
"1564","Seminars in Pediatric Surgery","Clinical Medicine"
"1565","CLINICAL OBSTETRICS AND GYNECOLOGY","Clinical Medicine"
"1566","MEDICAL ENGINEERING & PHYSICS","Clinical Medicine"
"1567","European Journal of Oncology Nursing","Clinical Medicine"
"1568","European Journal of Oncology Nursing","Clinical Medicine"
"1569","ACTA NEUROCHIRURGICA","Clinical Medicine"
"1570","Journal of Pediatric Health Care","Clinical Medicine"
"1571","Journal of Pediatric Health Care","Clinical Medicine"
"1572","Italian Journal of Pediatrics","Clinical Medicine"
"1573","JOURNAL OF SPORT REHABILITATION","Clinical Medicine"
"1574","EUROPEAN JOURNAL OF ORAL SCIENCES","Clinical Medicine"
"1575","BMC HEALTH SERVICES RESEARCH","Clinical Medicine"
"1576","BMC Urology","Clinical Medicine"
"1577","AMERICAN JOURNAL OF NURSING","Clinical Medicine"
"1578","AMERICAN JOURNAL OF NURSING","Clinical Medicine"
"1579","Journal of Pediatric and Adolescent Gynecology","Clinical Medicine"
"1580","Biological Research for Nursing","Clinical Medicine"
"1581","PANMINERVA MEDICA","Clinical Medicine"
"1582","SEMINARS IN CUTANEOUS MEDICINE AND SURGERY","Clinical Medicine"
"1583","Current Urology Reports","Clinical Medicine"
"1584","DIABETES EDUCATOR","Clinical Medicine"
"1585","DIABETES EDUCATOR","Clinical Medicine"
"1586","JOURNAL OF REHABILITATION MEDICINE","Clinical Medicine"
"1587","JOURNAL OF ADHESIVE DENTISTRY","Clinical Medicine"
"1588","Acupuncture in Medicine","Clinical Medicine"
"1589","JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY","Clinical Medicine"
"1590","KOREAN JOURNAL OF RADIOLOGY","Clinical Medicine"
"1591","NURSE EDUCATION TODAY","Clinical Medicine"
"1592","NURSE EDUCATION TODAY","Clinical Medicine"
"1593","Current Opinion in Otolaryngology & Head and Neck Surgery","Clinical Medicine"
"1594","Journal of Otolaryngology-Head & Neck Surgery","Clinical Medicine"
"1595","Topics in Stroke Rehabilitation","Clinical Medicine"
"1596","CANADIAN FAMILY PHYSICIAN","Clinical Medicine"
"1597","World Journal of Emergency Surgery","Clinical Medicine"
"1598","International Journal of Clinical and Experimental Pathology","Clinical Medicine"
"1599","JOURNAL OF RADIOLOGICAL PROTECTION","Clinical Medicine"
"1600","ANGLE ORTHODONTIST","Clinical Medicine"
"1601","Health Informatics Journal","Clinical Medicine"
"1602","JOURNAL OF DERMATOLOGY","Clinical Medicine"
"1603","AMERICAN JOURNAL OF THE MEDICAL SCIENCES","Clinical Medicine"
"1604","Heart Lung and Circulation","Clinical Medicine"
"1605","PHYSICAL THERAPY IN SPORT","Clinical Medicine"
"1606","OPHTHALMIC EPIDEMIOLOGY","Clinical Medicine"
"1607","Primary Care Diabetes","Clinical Medicine"
"1608","ANNALS OF NONINVASIVE ELECTROCARDIOLOGY","Clinical Medicine"
"1609","Journal of Clinical Research in Pediatric Endocrinology","Clinical Medicine"
"1610","Journal of Visceral Surgery","Clinical Medicine"
"1611","INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY","Clinical Medicine"
"1612","NEPHRON PHYSIOLOGY","Clinical Medicine"
"1613","Molecular Medicine Reports","Clinical Medicine"
"1614","SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE","Clinical Medicine"
"1615","CORONARY ARTERY DISEASE","Clinical Medicine"
"1616","Hereditary Cancer in Clinical Practice","Clinical Medicine"
"1617","JOURNAL OF CLINICAL LABORATORY ANALYSIS","Clinical Medicine"
"1618","SWISS MEDICAL WEEKLY","Clinical Medicine"
"1619","Hamostaseologie","Clinical Medicine"
"1620","Thoracic Surgery Clinics","Clinical Medicine"
"1621","CANADIAN JOURNAL OF SURGERY","Clinical Medicine"
"1622","JOURNAL OF ULTRASOUND IN MEDICINE","Clinical Medicine"
"1623","Odontology","Clinical Medicine"
"1624","ANNALS OF PLASTIC SURGERY","Clinical Medicine"
"1625","Journal of Vascular Access","Clinical Medicine"
"1626","Acta Otorhinolaryngologica Italica","Clinical Medicine"
"1627","NEPHRON EXPERIMENTAL NEPHROLOGY","Clinical Medicine"
"1628","JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY","Clinical Medicine"
"1629","SKELETAL RADIOLOGY","Clinical Medicine"
"1630","INTERNAL MEDICINE JOURNAL","Clinical Medicine"
"1631","CLINICS IN GERIATRIC MEDICINE","Clinical Medicine"
"1632","HIGH ALTITUDE MEDICINE & BIOLOGY","Clinical Medicine"
"1633","PEDIATRIC RADIOLOGY","Clinical Medicine"
"1634","Women and Birth","Clinical Medicine"
"1635","Women and Birth","Clinical Medicine"
"1636","Radiologia Medica","Clinical Medicine"
"1637","Journal of Drugs in Dermatology","Clinical Medicine"
"1638","JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","Clinical Medicine"
"1639","AMERICAN JOURNAL OF MANAGED CARE","Clinical Medicine"
"1640","AMERICAN JOURNAL OF MANAGED CARE","Clinical Medicine"
"1641","JOURNAL OF PROSTHETIC DENTISTRY","Clinical Medicine"
"1642","OPHTHALMOLOGICA","Clinical Medicine"
"1643","Blood Transfusion","Clinical Medicine"
"1644","International Journal of Medical Robotics and Computer Assisted Surgery","Clinical Medicine"
"1645","JAPANESE JOURNAL OF OPHTHALMOLOGY","Clinical Medicine"
"1646","ORTHOPEDIC CLINICS OF NORTH AMERICA","Clinical Medicine"
"1647","Paediatrics & Child Health","Clinical Medicine"
"1648","Journal for Healthcare Quality","Clinical Medicine"
"1649","Journal for Healthcare Quality","Clinical Medicine"
"1650","Journal of Pediatric Oncology Nursing","Clinical Medicine"
"1651","Journal of Pediatric Oncology Nursing","Clinical Medicine"
"1652","AMERICAN JOURNAL OF EMERGENCY MEDICINE","Clinical Medicine"
"1653","SAMJ SOUTH AFRICAN MEDICAL JOURNAL","Clinical Medicine"
"1654","ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY","Clinical Medicine"
"1655","Hemodialysis International","Clinical Medicine"
"1656","PEDIATRIC EXERCISE SCIENCE","Clinical Medicine"
"1657","Aging Male","Clinical Medicine"
"1658","NETHERLANDS JOURNAL OF MEDICINE","Clinical Medicine"
"1659","Indian Journal of Dermatology Venereology & Leprology","Clinical Medicine"
"1660","ADAPTED PHYSICAL ACTIVITY QUARTERLY","Clinical Medicine"
"1661","INTERNATIONAL JOURNAL OF PROSTHODONTICS","Clinical Medicine"
"1662","Pathogens and Global Health","Clinical Medicine"
"1663","CROATIAN MEDICAL JOURNAL","Clinical Medicine"
"1664","Oncology Letters","Clinical Medicine"
"1665","Journal of Foot and Ankle Research","Clinical Medicine"
"1666","Australian Critical Care","Clinical Medicine"
"1667","Australian Critical Care","Clinical Medicine"
"1668","JOURNAL OF PAEDIATRICS AND CHILD HEALTH","Clinical Medicine"
"1669","THERAPEUTIC APHERESIS AND DIALYSIS","Clinical Medicine"
"1670","DIAGNOSTIC MOLECULAR PATHOLOGY","Clinical Medicine"
"1671","Journal of Evidence-Based Dental Practice","Clinical Medicine"
"1672","NEPHRON CLINICAL PRACTICE","Clinical Medicine"
"1673","SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION","Clinical Medicine"
"1674","CANCER IMAGING","Clinical Medicine"
"1675","European Journal of Ageing","Clinical Medicine"
"1676","JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY","Clinical Medicine"
"1677","BMC Surgery","Clinical Medicine"
"1678","NURSING ETHICS","Clinical Medicine"
"1679","NURSING ETHICS","Clinical Medicine"
"1680","ANNALS OF NUCLEAR MEDICINE","Clinical Medicine"
"1681","SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES","Clinical Medicine"
"1682","Cardiovascular Ultrasound","Clinical Medicine"
"1683","Journal of Ophthalmology","Clinical Medicine"
"1684","CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE","Clinical Medicine"
"1685","REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS","Clinical Medicine"
"1686","Urolithiasis","Clinical Medicine"
"1687","NUCLEAR MEDICINE COMMUNICATIONS","Clinical Medicine"
"1688","PEDIATRIC CARDIOLOGY","Clinical Medicine"
"1689","DERMATOLOGY","Clinical Medicine"
"1690","npj Primary Care Respiratory Medicine","Clinical Medicine"
"1691","INDIAN JOURNAL OF MEDICAL RESEARCH","Clinical Medicine"
"1692","KNEE","Clinical Medicine"
"1693","DOCUMENTA OPHTHALMOLOGICA","Clinical Medicine"
"1694","Journal of Applied Clinical Medical Physics","Clinical Medicine"
"1695","SEMINARS IN INTERVENTIONAL RADIOLOGY","Clinical Medicine"
"1696","Legal Medicine","Clinical Medicine"
"1697","OPTOMETRY AND VISION SCIENCE","Clinical Medicine"
"1698","PERFUSION-UK","Clinical Medicine"
"1699","ANDROLOGIA","Clinical Medicine"
"1700","EUROPEAN JOURNAL OF ORTHODONTICS","Clinical Medicine"
"1701","PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","Clinical Medicine"
"1702","Breastfeeding Medicine","Clinical Medicine"
"1703","JOURNAL OF ARTIFICIAL ORGANS","Clinical Medicine"
"1704","VASCULAR MEDICINE","Clinical Medicine"
"1705","INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY","Clinical Medicine"
"1706","ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES","Clinical Medicine"
"1707","JOURNAL OF MIDWIFERY & WOMENS HEALTH","Clinical Medicine"
"1708","JOURNAL OF MIDWIFERY & WOMENS HEALTH","Clinical Medicine"
"1709","Journal of Oral Implantology","Clinical Medicine"
"1710","JOURNAL OF INTERNATIONAL MEDICAL RESEARCH","Clinical Medicine"
"1711","Journal of Sports Science and Medicine","Clinical Medicine"
"1712","Libyan Journal of Medicine","Clinical Medicine"
"1713","PATHOLOGY INTERNATIONAL","Clinical Medicine"
"1714","Research in Sports Medicine","Clinical Medicine"
"1715","Annals of Global Health","Clinical Medicine"
"1716","INTERNATIONAL JOURNAL OF DERMATOLOGY","Clinical Medicine"
"1717","Therapeutic Hypothermia and Temperature Management","Clinical Medicine"
"1718","GYNECOLOGICAL ENDOCRINOLOGY","Clinical Medicine"
"1719","Journal of Contemporary Brachytherapy","Clinical Medicine"
"1720","PHLEBOLOGY","Clinical Medicine"
"1721","JOURNAL OF CUTANEOUS PATHOLOGY","Clinical Medicine"
"1722","Diagnostic and Interventional Radiology","Clinical Medicine"
"1723","JOURNAL OF DIGITAL IMAGING","Clinical Medicine"
"1724","MEDICAL SCIENCE MONITOR","Clinical Medicine"
"1725","BLOOD PURIFICATION","Clinical Medicine"
"1726","OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA","Clinical Medicine"
"1727","JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE","Clinical Medicine"
"1728","JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE","Clinical Medicine"
"1729","AMERICAN JOURNAL OF DERMATOPATHOLOGY","Clinical Medicine"
"1730","GERODONTOLOGY","Clinical Medicine"
"1731","INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH","Clinical Medicine"
"1732","JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE","Clinical Medicine"
"1733","Journal of Geriatric Cardiology","Clinical Medicine"
"1734","Orthopaedics & Traumatology-Surgery & Research","Clinical Medicine"
"1735","PATHOLOGY RESEARCH AND PRACTICE","Clinical Medicine"
"1736","COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","Clinical Medicine"
"1737","Hematology","Clinical Medicine"
"1738","Magnetic Resonance in Medical Sciences","Clinical Medicine"
"1739","HAND CLINICS","Clinical Medicine"
"1740","JOURNAL OF CLINICAL NURSING","Clinical Medicine"
"1741","JOURNAL OF CLINICAL NURSING","Clinical Medicine"
"1742","JOURNAL OF TELEMEDICINE AND TELECARE","Clinical Medicine"
"1743","EXPERIMENTAL LUNG RESEARCH","Clinical Medicine"
