"";"JCR.Abbreviated.Title";"Full.Journal.Title";"Issn";"Subject.Category";"Discipline.Scientifique.OST";"Origine";"Abreviation"
"2191";"BOUND-LAY METEOROL";"BOUNDARY-LAYER METEOROLOGY";"0006-8314";"Meteorology & Atmospheric Sciences";"Sciences de l'Univers";"SCIE";"QQ"
"2192";"BRACHYTHERAPY";"BRACHYTHERAPY";"1538-4721";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2193";"BRACHYTHERAPY";"BRACHYTHERAPY";"1538-4721";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"2194";"BRADLEYA";"BRADLEYA";"0265-086X";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2195";"BRAGANTIA";"BRAGANTIA";"0006-8705";"Agriculture, Multidisciplinary";"Biologie Appliquée-Ecologie";"SCIE";"AH"
"2196";"BRAIN";"BRAIN";"0006-8950";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2197";"BRAIN";"BRAIN";"0006-8950";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2198";"BRAIN BEHAV";"BRAIN AND BEHAVIOR";"2162-3279";"Behavioral Sciences";"Biologie Fondamentale";"SCIE";"CN"
"2199";"BRAIN BEHAV";"BRAIN AND BEHAVIOR";"2162-3279";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2200";"BRAIN BEHAV EVOLUT";"BRAIN BEHAVIOR AND EVOLUTION";"0006-8977";"Behavioral Sciences";"Biologie Fondamentale";"SCIE";"CN"
"2201";"BRAIN BEHAV EVOLUT";"BRAIN BEHAVIOR AND EVOLUTION";"0006-8977";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2202";"BRAIN BEHAV EVOLUT";"BRAIN BEHAVIOR AND EVOLUTION";"0006-8977";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"2203";"BRAIN BEHAV IMMUN";"BRAIN BEHAVIOR AND IMMUNITY";"0889-1591";"Immunology";"Recherche Médicale";"SCIE";"NI"
"2204";"BRAIN BEHAV IMMUN";"BRAIN BEHAVIOR AND IMMUNITY";"0889-1591";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2205";"BRAIN BEHAV IMMUN";"BRAIN BEHAVIOR AND IMMUNITY";"0889-1591";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"2206";"BRAIN COGNITION";"BRAIN AND COGNITION";"0278-2626";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2207";"BRAIN DEV-JPN";"BRAIN & DEVELOPMENT";"0387-7604";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2208";"BRAIN IMAGING BEHAV";"BRAIN IMAGING AND BEHAVIOR";"1931-7557";"Neuroimaging";"Biologie Fondamentale";"SCIE";"RX"
"2209";"BRAIN IMPAIR";"BRAIN IMPAIRMENT";"1443-9646";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2210";"BRAIN IMPAIR";"BRAIN IMPAIRMENT";"1443-9646";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2211";"BRAIN IMPAIR";"BRAIN IMPAIRMENT";"1443-9646";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
"2212";"BRAIN INJURY";"BRAIN INJURY";"0269-9052";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2213";"BRAIN INJURY";"BRAIN INJURY";"0269-9052";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
"2214";"BRAIN LANG";"BRAIN AND LANGUAGE";"0093-934X";"Audiology & Speech-Language Pathology";"Recherche Médicale";"SCIE";"CL"
"2215";"BRAIN LANG";"BRAIN AND LANGUAGE";"0093-934X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2216";"BRAIN PATHOL";"BRAIN PATHOLOGY";"1015-6305";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2217";"BRAIN PATHOL";"BRAIN PATHOLOGY";"1015-6305";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2218";"BRAIN PATHOL";"BRAIN PATHOLOGY";"1015-6305";"Pathology";"Recherche Médicale";"SCIE";"TM"
"2219";"BRAIN RES";"BRAIN RESEARCH";"0006-8993";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2220";"BRAIN RES BULL";"BRAIN RESEARCH BULLETIN";"0361-9230";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2221";"BRAIN SCI";"BRAIN SCIENCES";"****-****";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2222";"BRAIN STIMUL";"BRAIN STIMULATION";"1935-861X";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2223";"BRAIN STIMUL";"BRAIN STIMULATION";"1935-861X";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2224";"BRAIN STRUCT FUNCT";"BRAIN STRUCTURE & FUNCTION";"1863-2653";"Anatomy & Morphology";"Biologie Fondamentale";"SCIE";"AY"
"2225";"BRAIN STRUCT FUNCT";"BRAIN STRUCTURE & FUNCTION";"1863-2653";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2226";"BRAIN TOPOGR";"BRAIN TOPOGRAPHY";"0896-0267";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2227";"BRAIN TOPOGR";"BRAIN TOPOGRAPHY";"0896-0267";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"2228";"BRAIN TUMOR PATHOL";"BRAIN TUMOR PATHOLOGY";"1433-7398";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2229";"BRAIN TUMOR PATHOL";"BRAIN TUMOR PATHOLOGY";"1433-7398";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2230";"BRAIN TUMOR PATHOL";"BRAIN TUMOR PATHOLOGY";"1433-7398";"Pathology";"Recherche Médicale";"SCIE";"TM"
"2231";"BRATISL MED J";"BRATISLAVA MEDICAL JOURNAL-BRATISLAVSKE LEKARSKE LISTY";"0006-9248";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"2232";"BRAZ ARCH BIOL TECHN";"BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY";"1516-8913";"Biology";"Biologie Appliquée-Ecologie";"SCIE";"CU"
"2233";"BRAZ J BIOL";"BRAZILIAN JOURNAL OF BIOLOGY";"1519-6984";"Biology";"Biologie Appliquée-Ecologie";"SCIE";"CU"
"2234";"BRAZ J BOT";"BRAZILIAN JOURNAL OF BOTANY";"0100-8404";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2235";"BRAZ J CARDIOV SURG";"BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY";"0102-7638";"Cardiac & Cardiovascular Systems";"Recherche Médicale";"SCIE";"DQ"
"2236";"BRAZ J CARDIOV SURG";"BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY";"0102-7638";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2237";"BRAZ J CHEM ENG";"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING";"0104-6632";"Engineering, Chemical";"Sciences pour l'Ingénieur";"SCIE";"II"
"2238";"BRAZ J GEOL";"BRAZILIAN JOURNAL OF GEOLOGY";"2317-4889";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"2239";"BRAZ J INFECT DIS";"BRAZILIAN JOURNAL OF INFECTIOUS DISEASES";"1413-8670";"Infectious Diseases";"Recherche Médicale";"SCIE";"NN"
"2240";"BRAZ J MED BIOL RES";"BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH";"0100-879X";"Biology";"Biologie Appliquée-Ecologie";"SCIE";"CU"
"2241";"BRAZ J MED BIOL RES";"BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH";"0100-879X";"Medicine, Research & Experimental";"Recherche Médicale";"SCIE";"QA"
"2242";"BRAZ J MICROBIOL";"BRAZILIAN JOURNAL OF MICROBIOLOGY";"1517-8382";"Microbiology";"Biologie Fondamentale";"SCIE";"QU"
"2243";"BRAZ J OCEANOGR";"BRAZILIAN JOURNAL OF OCEANOGRAPHY";"1679-8759";"Marine & Freshwater Biology";"Sciences de l'Univers";"SCIE";"PI"
"2244";"BRAZ J OCEANOGR";"BRAZILIAN JOURNAL OF OCEANOGRAPHY";"1679-8759";"Oceanography";"Sciences de l'Univers";"SCIE";"SI"
"2245";"BRAZ J OTORHINOLAR";"BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY";"1808-8694";"Otorhinolaryngology";"Recherche Médicale";"SCIE";"TD"
"2246";"BRAZ J PHARM SCI";"BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES";"1984-8250";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"2247";"BRAZ J PHYS";"BRAZILIAN JOURNAL OF PHYSICS";"0103-9733";"Physics, Multidisciplinary";"Physique";"SCIE";"UI"
"2248";"BRAZ J PHYS THER";"BRAZILIAN JOURNAL OF PHYSICAL THERAPY";"1413-3555";"Orthopedics";"Recherche Médicale";"SCIE";"TC"
"2249";"BRAZ J PHYS THER";"BRAZILIAN JOURNAL OF PHYSICAL THERAPY";"1413-3555";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
"2250";"BRAZ J POULTRY SCI";"BRAZILIAN JOURNAL OF POULTRY SCIENCE";"1516-635X";"Agriculture, Dairy & Animal Science";"Biologie Appliquée-Ecologie";"SCIE";"AD"
"2251";"BRAZ J PROBAB STAT";"BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS";"0103-0752";"Statistics & Probability";"Mathématiques";"SCIE";"XY"
"2252";"BRAZ ORAL RES";"BRAZILIAN ORAL RESEARCH";"1807-3107";"Dentistry, Oral Surgery & Medicine";"Recherche Médicale";"SCIE";"FY"
"2253";"BREAST";"BREAST";"0960-9776";"Obstetrics & Gynecology";"Recherche Médicale";"SCIE";"SD"
"2254";"BREAST";"BREAST";"0960-9776";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2255";"BREAST CANCER RES";"BREAST CANCER RESEARCH";"1465-542X";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2256";"BREAST CANCER RES TR";"BREAST CANCER RESEARCH AND TREATMENT";"0167-6806";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2257";"BREAST CANCER-TOKYO";"BREAST CANCER";"1340-6868";"Obstetrics & Gynecology";"Recherche Médicale";"SCIE";"SD"
"2258";"BREAST CANCER-TOKYO";"BREAST CANCER";"1340-6868";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2259";"BREAST CARE";"BREAST CARE";"1661-3791";"Obstetrics & Gynecology";"Recherche Médicale";"SCIE";"SD"
"2260";"BREAST CARE";"BREAST CARE";"1661-3791";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2261";"BREAST J";"BREAST JOURNAL";"1075-122X";"Obstetrics & Gynecology";"Recherche Médicale";"SCIE";"SD"
"2262";"BREAST J";"BREAST JOURNAL";"1075-122X";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2263";"BREASTFEED MED";"BREASTFEEDING MEDICINE";"1556-8253";"Obstetrics & Gynecology";"Recherche Médicale";"SCIE";"SD"
"2264";"BREASTFEED MED";"BREASTFEEDING MEDICINE";"1556-8253";"Pediatrics";"Recherche Médicale";"SCIE";"TQ"
"2265";"BREEDING SCI";"BREEDING SCIENCE";"1344-7610";"Agronomy";"Biologie Appliquée-Ecologie";"SCIE";"AM"
"2266";"BREEDING SCI";"BREEDING SCIENCE";"1344-7610";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2267";"BRIEF BIOINFORM";"BRIEFINGS IN BIOINFORMATICS";"1467-5463";"Biochemical Research Methods";"Biologie Fondamentale";"SCIE";"CO"
"2268";"BRIEF BIOINFORM";"BRIEFINGS IN BIOINFORMATICS";"1467-5463";"Mathematical & Computational Biology";"Biologie Fondamentale";"SCIE";"MC"
"2269";"BRIEF FUNCT GENOMICS";"BRIEFINGS IN FUNCTIONAL GENOMICS";"2041-2649";"Biotechnology & Applied Microbiology";"Biologie Fondamentale";"SCIE";"DB"
"2270";"BRIEF FUNCT GENOMICS";"BRIEFINGS IN FUNCTIONAL GENOMICS";"2041-2649";"Genetics & Heredity";"Biologie Fondamentale";"SCIE";"KM"
"2271";"BRIT DENT J";"BRITISH DENTAL JOURNAL";"0007-0610";"Dentistry, Oral Surgery & Medicine";"Recherche Médicale";"SCIE";"FY"
"2272";"BRIT FOOD J";"BRITISH FOOD JOURNAL";"0007-070X";"Food Science & Technology";"Biologie Appliquée-Ecologie";"SCIE";"JY"
"2273";"BRIT J ANAESTH";"BRITISH JOURNAL OF ANAESTHESIA";"0007-0912";"Anesthesiology";"Recherche Médicale";"SCIE";"BA"
"2274";"BRIT J BIOMED SCI";"BRITISH JOURNAL OF BIOMEDICAL SCIENCE";"0967-4845";"Medical Laboratory Technology";"Biologie Fondamentale";"SCIE";"PW"
"2275";"BRIT J CANCER";"BRITISH JOURNAL OF CANCER";"0007-0920";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2276";"BRIT J CLIN PHARMACO";"BRITISH JOURNAL OF CLINICAL PHARMACOLOGY";"0306-5251";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"2277";"BRIT J DERMATOL";"BRITISH JOURNAL OF DERMATOLOGY";"0007-0963";"Dermatology";"Recherche Médicale";"SCIE";"GA"
"2278";"BRIT J GEN PRACT";"BRITISH JOURNAL OF GENERAL PRACTICE";"0960-1643";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"2279";"BRIT J GEN PRACT";"BRITISH JOURNAL OF GENERAL PRACTICE";"0960-1643";"Primary Health Care";"Recherche Médicale";"SCIE";"ML"
"2280";"BRIT J HAEMATOL";"BRITISH JOURNAL OF HAEMATOLOGY";"0007-1048";"Hematology";"Recherche Médicale";"SCIE";"MA"
"2281";"BRIT J HOSP MED";"BRITISH JOURNAL OF HOSPITAL MEDICINE";"1750-8460";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"2282";"BRIT J MATH STAT PSY";"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY";"0007-1102";"Mathematics, Interdisciplinary Applications";"Mathématiques";"SCIE";"PO"
"2283";"BRIT J MATH STAT PSY";"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY";"0007-1102";"Statistics & Probability";"Mathématiques";"SCIE";"XY"
"2284";"BRIT J NEUROSURG";"BRITISH JOURNAL OF NEUROSURGERY";"0268-8697";"Clinical Neurology";"Recherche Médicale";"SCIE";"RT"
"2285";"BRIT J NEUROSURG";"BRITISH JOURNAL OF NEUROSURGERY";"0268-8697";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2286";"BRIT J NUTR";"BRITISH JOURNAL OF NUTRITION";"0007-1145";"Nutrition & Dietetics";"Biologie Fondamentale";"SCIE";"SA"
"2287";"BRIT J OCCUP THER";"BRITISH JOURNAL OF OCCUPATIONAL THERAPY";"0308-0226";"Rehabilitation";"Recherche Médicale";"SCIE";"WC"
"2288";"BRIT J OPHTHALMOL";"BRITISH JOURNAL OF OPHTHALMOLOGY";"0007-1161";"Ophthalmology";"Recherche Médicale";"SCIE";"SU"
"2289";"BRIT J ORAL MAX SURG";"BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY";"0266-4356";"Dentistry, Oral Surgery & Medicine";"Recherche Médicale";"SCIE";"FY"
"2290";"BRIT J ORAL MAX SURG";"BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY";"0266-4356";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2291";"BRIT J PHARMACOL";"BRITISH JOURNAL OF PHARMACOLOGY";"0007-1188";"Pharmacology & Pharmacy";"Recherche Médicale";"SCIE";"TU"
"2292";"BRIT J PHILOS SCI";"BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE";"0007-0882";"History & Philosophy of Science";"Histoire-Archéologie";"SCIE; SSCI";"MQ"
"2293";"BRIT J PSYCHIAT";"BRITISH JOURNAL OF PSYCHIATRY";"0007-1250";"Psychiatry";"Recherche Médicale";"SCIE";"VE"
"2294";"BRIT J RADIOL";"BRITISH JOURNAL OF RADIOLOGY";"0007-1285";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"2295";"BRIT J SPORT MED";"BRITISH JOURNAL OF SPORTS MEDICINE";"0306-3674";"Sport Sciences";"Recherche Médicale";"SCIE";"XW"
"2296";"BRIT J SURG";"BRITISH JOURNAL OF SURGERY";"0007-1323";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2297";"BRIT MED BULL";"BRITISH MEDICAL BULLETIN";"0007-1420";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"2298";"BRIT POULTRY SCI";"BRITISH POULTRY SCIENCE";"0007-1668";"Agriculture, Dairy & Animal Science";"Biologie Appliquée-Ecologie";"SCIE";"AD"
"2299";"BRITTONIA";"BRITTONIA";"0007-196X";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2300";"BRODOGRADNJA";"BRODOGRADNJA";"0007-215X";"Engineering, Marine";"Sciences pour l'Ingénieur";"SCIE";"IL"
"2301";"BRYOLOGIST";"BRYOLOGIST";"0007-2745";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2302";"BSGF-EARTH SCI B";"BSGF-EARTH SCIENCES BULLETIN";"0037-9409";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"2303";"BUFFALO BULL";"BUFFALO BULLETIN";"0125-6726";"Agriculture, Dairy & Animal Science";"Biologie Appliquée-Ecologie";"SCIE";"AD"
"2304";"BUILD ENVIRON";"BUILDING AND ENVIRONMENT";"0360-1323";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"2305";"BUILD ENVIRON";"BUILDING AND ENVIRONMENT";"0360-1323";"Engineering, Civil";"Sciences pour l'Ingénieur";"SCIE";"IM"
"2306";"BUILD ENVIRON";"BUILDING AND ENVIRONMENT";"0360-1323";"Engineering, Environmental";"Sciences de l'Univers";"SCIE";"IH"
"2307";"BUILD RES INF";"BUILDING RESEARCH AND INFORMATION";"0961-3218";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"2308";"BUILD SERV ENG RES T";"BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY";"0143-6244";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"2309";"BUILD SIMUL-CHINA";"BUILDING SIMULATION";"1996-3599";"Construction & Building Technology";"Sciences pour l'Ingénieur";"SCIE";"FA"
"2310";"BUILD SIMUL-CHINA";"BUILDING SIMULATION";"1996-3599";"Thermodynamics";"Sciences pour l'Ingénieur";"SCIE";"DT"
"2311";"BUNDESGESUNDHEITSBLA";"BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ";"1436-9990";"Public, Environmental & Occupational Health";"Recherche Médicale";"SCIE";"NE"
"2312";"BUNSEKI KAGAKU";"BUNSEKI KAGAKU";"0525-1931";"Chemistry, Analytical";"Chimie";"SCIE";"EA"
"2313";"BURNS";"BURNS";"0305-4179";"Critical Care Medicine";"Recherche Médicale";"SCIE";"DS"
"2314";"BURNS";"BURNS";"0305-4179";"Dermatology";"Recherche Médicale";"SCIE";"GA"
"2315";"BURNS";"BURNS";"0305-4179";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2316";"BURNS TRAUMA";"BURNS & TRAUMA";"2321-3868";"Dermatology";"Recherche Médicale";"SCIE";"GA"
"2317";"BURNS TRAUMA";"BURNS & TRAUMA";"2321-3868";"Emergency Medicine";"Recherche Médicale";"SCIE";"FF"
"2318";"BURNS TRAUMA";"BURNS & TRAUMA";"2321-3868";"Surgery";"Recherche Médicale";"SCIE";"YA"
"2319";"BUS INFORM SYST ENG+";"BUSINESS & INFORMATION SYSTEMS ENGINEERING";"2363-7005";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"2320";"CA-CANCER J CLIN";"CA-A CANCER JOURNAL FOR CLINICIANS";"0007-9235";"Oncology";"Recherche Médicale";"SCIE";"DM"
"2321";"CAD SAUDE PUBLICA";"CADERNOS DE SAUDE PUBLICA";"0102-311X";"Public, Environmental & Occupational Health";"Recherche Médicale";"SCIE";"NE"
"2322";"CAH AGRIC";"CAHIERS AGRICULTURES";"1777-5949";"Agriculture, Multidisciplinary";"Biologie Appliquée-Ecologie";"SCIE";"AH"
"2323";"CAH AGRIC";"CAHIERS AGRICULTURES";"1777-5949";"Agronomy";"Biologie Appliquée-Ecologie";"SCIE";"AM"
"2324";"CAH BIOL MAR";"CAHIERS DE BIOLOGIE MARINE";"0007-9723";"Marine & Freshwater Biology";"Sciences de l'Univers";"SCIE";"PI"
"2325";"CAL COOP OCEAN FISH";"CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS";"0575-3317";"Fisheries";"Biologie Appliquée-Ecologie";"SCIE";"JU"
"2326";"CALC VAR PARTIAL DIF";"CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS";"0944-2669";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"2327";"CALC VAR PARTIAL DIF";"CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS";"0944-2669";"Mathematics";"Mathématiques";"SCIE";"PQ"
"2328";"CALCIFIED TISSUE INT";"CALCIFIED TISSUE INTERNATIONAL";"0171-967X";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"2329";"CALCOLO";"CALCOLO";"0008-0624";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"2330";"CALCOLO";"CALCOLO";"0008-0624";"Mathematics";"Mathématiques";"SCIE";"PQ"
"2331";"CALDASIA";"CALDASIA";"0366-5232";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"2332";"CALDASIA";"CALDASIA";"0366-5232";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"2333";"CALIF AGR";"CALIFORNIA AGRICULTURE";"0008-0845";"Agriculture, Multidisciplinary";"Biologie Appliquée-Ecologie";"SCIE";"AH"
"2334";"CALIF FISH GAME";"CALIFORNIA FISH AND GAME";"0008-1078";"Fisheries";"Biologie Appliquée-Ecologie";"SCIE";"JU"
"2335";"CALIF FISH GAME";"CALIFORNIA FISH AND GAME";"0008-1078";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"2336";"CALPHAD";"CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY";"0364-5916";"Chemistry, Physical";"Chimie";"SCIE";"EI"
"2337";"CALPHAD";"CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY";"0364-5916";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"2338";"CALPHAD";"CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY";"0364-5916";"Metallurgy & Metallurgical Engineering";"Sciences pour l'Ingénieur";"SCIE";"PZ"
"2339";"CALPHAD";"CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY";"0364-5916";"Thermodynamics";"Sciences pour l'Ingénieur";"SCIE";"DT"
"2340";"CAMB Q HEALTHC ETHIC";"CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS";"0963-1801";"Health Care Sciences & Services";"Recherche Médicale";"SCIE";"HL"
"2341";"CAN ASSOC RADIOL J";"CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES";"0846-5371";"Radiology, Nuclear Medicine & Medical Imaging";"Recherche Médicale";"SCIE";"VY"
"2342";"CAN ENTOMOL";"CANADIAN ENTOMOLOGIST";"0008-347X";"Entomology";"Biologie Appliquée-Ecologie";"SCIE";"IY"
"2343";"CAN FAM PHYSICIAN";"CANADIAN FAMILY PHYSICIAN";"0008-350X";"Medicine, General & Internal";"Recherche Médicale";"SCIE";"PY"
"2344";"CAN FAM PHYSICIAN";"CANADIAN FAMILY PHYSICIAN";"0008-350X";"Primary Health Care";"Recherche Médicale";"SCIE";"ML"
"2345";"CAN GEOTECH J";"CANADIAN GEOTECHNICAL JOURNAL";"0008-3674";"Engineering, Geological";"Sciences de l'Univers";"SCIE";"IX"
"2346";"CAN GEOTECH J";"CANADIAN GEOTECHNICAL JOURNAL";"0008-3674";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"2347";"CAN J AGR ECON";"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE";"0008-3976";"Agricultural Economics & Policy";"Biologie Appliquée-Ecologie";"SCIE";"AF"
"2348";"CAN J ANESTH";"CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE";"0832-610X";"Anesthesiology";"Recherche Médicale";"SCIE";"BA"
"2349";"CAN J ANIM SCI";"CANADIAN JOURNAL OF ANIMAL SCIENCE";"0008-3984";"Agriculture, Dairy & Animal Science";"Biologie Appliquée-Ecologie";"SCIE";"AD"
"2350";"CAN J CARDIOL";"CANADIAN JOURNAL OF CARDIOLOGY";"0828-282X";"Cardiac & Cardiovascular Systems";"Recherche Médicale";"SCIE";"DQ"
"2351";"CAN J CHEM";"CANADIAN JOURNAL OF CHEMISTRY";"0008-4042";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"2352";"CAN J CHEM ENG";"CANADIAN JOURNAL OF CHEMICAL ENGINEERING";"0008-4034";"Engineering, Chemical";"Sciences pour l'Ingénieur";"SCIE";"II"
"2353";"CAN J CIVIL ENG";"CANADIAN JOURNAL OF CIVIL ENGINEERING";"0315-1468";"Engineering, Civil";"Sciences pour l'Ingénieur";"SCIE";"IM"
"2354";"CAN J DIABETES";"CANADIAN JOURNAL OF DIABETES";"1499-2671";"Endocrinology & Metabolism";"Recherche Médicale";"SCIE";"IA"
"2355";"CAN J DIET PRACT RES";"CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH";"1486-3847";"Nutrition & Dietetics";"Biologie Fondamentale";"SCIE";"SA"
"2356";"CAN J EARTH SCI";"CANADIAN JOURNAL OF EARTH SCIENCES";"0008-4077";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"2357";"CAN J ELECT COMPUT E";"CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE";"0840-8688";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"2358";"CAN J ELECT COMPUT E";"CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE";"0840-8688";"Engineering, Electrical & Electronic";"Sciences pour l'Ingénieur";"SCIE";"IQ"
"2359";"CAN J EMERG MED";"CANADIAN JOURNAL OF EMERGENCY MEDICINE";"1481-8035";"Emergency Medicine";"Recherche Médicale";"SCIE";"FF"
"2360";"CAN J FISH AQUAT SCI";"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES";"0706-652X";"Fisheries";"Biologie Appliquée-Ecologie";"SCIE";"JU"
