UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
 ;AMERICAN JOURNAL OF MEDICAL GENETICS PART A;CHRNG-RELATED NONLETHAL MULTIPLE PTERYGIUM SYNDROME: MUSCLE IMAGING PATTERN AND CLINICAL, HISTOPATHOLOGICAL, AND MOLECULAR GENETIC FINDINGS;DIETERICH, KLAUS;" CHU GRENOBLE ALPES, DEPT GENET & PROCREAT, GRENOBLE 6, FRANCE.; ";
 ;AMERICAN JOURNAL OF MEDICAL GENETICS PART A;CHRNG-RELATED NONLETHAL MULTIPLE PTERYGIUM SYNDROME: MUSCLE IMAGING PATTERN AND CLINICAL, HISTOPATHOLOGICAL, AND MOLECULAR GENETIC FINDINGS;"DURAND, CHANTAL; NUGUES, FREDERIQUE";" CHU GRENOBLE ALPES, DEPT RADIOL, GRENOBLE, FRANCE.; ";
 ;EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES;PERSISTENT STAPEDIAL ARTERY IN PHACE SYNDROME;"QUATRE, R.;; SCHMERBER, S.;";" CHU GRENOBLE, HOP NORD, CLIN UNIV OTORHINOLARYNGOL & CHIRURG CERVICOFACIA, POLE PALCROS, CS 10217, GRENOBLE 9, FRANCE.; ";
 ;EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES;ENDOSCOPIC LATERALIZATION OF THE VOCAL FOLD;"FABRE, C.;; RIGHINI, C.; A.;; ATALLAH, I";" CHU GRENOBLE, CLIN UNIV ORL & CHIRURG CERVICOFACIALE, HOP NORD MICHALLON, CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;JOURNAL OF CRITICAL CARE;A WORLDWIDE PERSPECTIVE OF SEPSIS EPIDEMIOLOGY AND SURVIVAL ACCORDING TO AGE: OBSERVATIONAL DATA FROM THE ICON AUDIT;"LAVAGNE, P.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";
 ;SLEEP AND BREATHING;LONG-TERM ADHERENCE TO AMBULATORY INITIATED CONTINUOUS POSITIVE AIRWAY PRESSURE IN NON-SYNDROMIC OSA CHILDREN;"JULLIAN-DESAYES, I.;; JOYEUX-FAURE, M.;; BAILLY, S.;; PEPIN, J-L.;";" CHU GRENOBLE ALPES, POLE THORAX & VAISSEAUX, EXPLORAT FONCT CARDIORESP, GRENOBLE, FRANCE.; ";
 ;THERIOGENOLOGY;ENZYMATIC ACTIVITY OF MOUSE GROUP X-SPLA2 IMPROVES IN VITRO PRODUCTION OF PREIMPLANTATION BOVINE EMBRYOS;"RAY, PIERRE F.;";" CHU GRENOBLE, UM GI DPI, F-38000 GRENOBLE, FRANCE.;";
 ;OBESITY;ROLE OF LEPTIN IN THE ASSOCIATION BETWEEN BODY ADIPOSITY AND PERSISTENT ASTHMA: A LONGITUDINAL STUDY;PISON, CHRISTOPHE;" CHU GRENOBLE ALPES, CLIN UNIV PNEUMOL, POLE THORAX & VAISSEAUX, INSERM 1055, GRENOBLE, FRANCE.; ";
 ;AGING AND DISEASE;SUBCLINICAL HYPOTHYROIDISM: IS IT REALLY SUBCLINICAL WITH AGING?;"GAUCHEZ, ANNE-SOPHIE; WATERLOT, CHRISTINE; GUEDEL, DOMITILLE; MAYER, ANNE; DU BOULLAY, HELENE; FRANCOIS-JOUBERT, ANNE";" CTR HOSP METROPOLE SAVOIE, SERV MED NUCLEAIRE, F-73000 CHAMBERY, FRANCE.; CHU GRENOBLE, POLE BIOL, CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;JOURNAL OF NEUROSURGERY;STRATEGIES TO REDUCE EXTERNAL VENTRICULAR DRAIN-RELATED INFECTIONS: A MULTICENTER RETROSPECTIVE STUDY;"CHAMPEY, JULIA; MOUREY, CLEMENT; FRANCONY, GILLES; PAYEN, JEAN-FRANCOIS";" CHU GRENOBLE ALPES, POLE ANESTHESIE REANIMAT, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF NEUROSURGERY;STRATEGIES TO REDUCE EXTERNAL VENTRICULAR DRAIN-RELATED INFECTIONS: A MULTICENTER RETROSPECTIVE STUDY;PAVESE, PATRICIA;" CHU GRENOBLE ALPES, CLIN MALAD INFECT, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF NEUROSURGERY;STRATEGIES TO REDUCE EXTERNAL VENTRICULAR DRAIN-RELATED INFECTIONS: A MULTICENTER RETROSPECTIVE STUDY;GAY, EMMANUEL;" CHU GRENOBLE ALPES, NEUROCHIRURG, GRENOBLE, FRANCE.; ";
 ;LUNG CANCER;SEQUENCING OF THERAPY FOLLOWING FIRST-LINE AFATINIB IN PATIENTS WITH EGFR MUTATION-POSITIVE NON-SMALL CELL LUNG CANCER;SIBILOTRU, DENIS MORO;" CHU GRENOBLE ALPES, SERV PNEUMOL & PHYSIOL, F-38700 LA TRONCHE, FRANCE.; ";
 ;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;HANGMAN'S FRACTURE: MANAGEMENT STRATEGY AND HEALING RATE IN A PROSPECTIVE MULTI-CENTRE OBSERVATIONAL STUDY OF 34 PATIENTS;NICOT, BENJAMIN;" CHU GRENOBLE, DEPT NEUROCHIRURG, AVE MAQUIS DU GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";
 ;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;EFFECTIVENESS OF CLOSED REDUCTION AND PERCUTANEOUS FIXATION OF ISOLATED SACRAL FRACTURES. FUNCTIONAL OUTCOMES AND SAGITTAL ALIGNMENT AFTER 3.6 YEARS IN 20 PATIENTS;"RUATTI, SEBASTIEN; BOUDISSA, MEHDI; KERSCHBAUMER, GAEL; MILAIRE, MICHEL; TONETTI, JEROME";" CHU GRENOBLE, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.;";
 ;EUROPEAN JOURNAL OF MEDICAL GENETICS;MAJOR INTRA-FAMILIAL PHENOTYPIC HETEROGENEITY AND INCOMPLETE PENETRANCE DUE TO A CACNA1A PATHOGENIC VARIANT;JOUK, PIERRE-SIMON;" CHU GRENOBLE, SERV GENET MED, GRENOBLE, FRANCE.; ";
 ;GENETICS IN MEDICINE;THE PHENOTYPIC SPECTRUM OF WWOX-RELATED DISORDERS: 20 ADDITIONAL CASES OF WOREE SYNDROME AND REVIEW OF THE LITERATURE;NGUYEN-MOREL, MARIE-ANGE;" CHU GRENOBLE ALPES, SERV NEUROL P DIATR, HOP COUPLE ENFANT, GRENOBLE, FRANCE.; ";
 ;THERAPIE;IMPROVE THE BENEFIT / RISK BALANCE OF METHADONE BY RESPECTING ITS PHARMACOLOGICAL SPECIFICITIES;"SAM-LAI, NATHALIE FOUILHE; MALLARET, MICHEL";" CHU GRENOBLE ALPES, CTR ADDICTOVIGILANCE, F-38043 GRENOBLE, FRANCE.;";
 ;BULLETIN DU CANCER;REPRINT OF: NEW GUIDELINES FOR STAGE III MELANOMA (THE FRENCH CUTANEOUS ONCOLOGY GROUP);LECCIA, M-T;" CHU GRENOBLE, SERV DERMATOL, F-38043 GRENOBLE, FRANCE.;";
 ;KIDNEY INTERNATIONAL;EPITOPE LOAD IDENTIFIES KIDNEY TRANSPLANT RECIPIENTS AT RISK OF ALLOSENSITIZATION FOLLOWING MINIMIZATION OF IMMUNOSUPPRESSION;JANBON, BENEDICTE;" CHU GRENOBLE, SERV NEPHROL & TRANSPLANTAT, GRENOBLE, FRANCE.; ";
 ;PRESSE MEDICALE;MOOD DISORDERS: WHEN SHOULD WE USE REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION?;BOUGEROL, THIERRY;" CHU GRENOBLE, CLIN PSYCHIAT, POLE NEUROL PSYCHIAT, F-38043 GRENOBLE, FRANCE.; ";
 ;PRESSE MEDICALE;MOOD DISORDERS: WHEN SHOULD WE USE REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION?;DALL'IGNA, GAELLE;" CHU GRENOBLE ALPES, POLE PSYCHIAT & NEUROL, F-38000 GRENOBLE, FRANCE.; ";
 ;JAMA DERMATOLOGY;ASSOCIATION OF TIME FROM PRIMARY DIAGNOSIS TO FIRST DISTANT RELAPSE OF METASTATIC MELANOMA WITH PROGRESSION OF DISEASE AND SURVIVAL;LECCIA, MARIE-THERESE;" CHU GRENOBLE, DEPT DERMATOL, GRENOBLE, FRANCE.; ";
 ;REVUE DES MALADIES RESPIRATOIRES;EMERGENCY ROOM MANAGEMENT OF PATIENTS WITH LUNG CANCER AND ORGAN FAILURE;"COLLART, C.;; MAIGNAN, M.;; PAQUIER, C.;; VIGLINO, D.;";" CHU GRENOBLE ALPES, SERV ACCUEIL URGENCES, F-38043 GRENOBLE 9, FRANCE.; ";
 ;REVUE DES MALADIES RESPIRATOIRES;EMERGENCY ROOM MANAGEMENT OF PATIENTS WITH LUNG CANCER AND ORGAN FAILURE;"MORO-SIBILOT, D.;; LEVRA, M.; GIAJ; FERRER, L.;; TOFFART, A-C";" CHU GRENOBLE ALPES, CLIN UNIV PNEUMOL, POLE THORAX & VAISSEAUX, F-38043 GRENOBLE 9, FRANCE.; ";
 ;REVUE DES MALADIES RESPIRATOIRES;EMERGENCY ROOM MANAGEMENT OF PATIENTS WITH LUNG CANCER AND ORGAN FAILURE;"SCHWEBEL, C.;";" CHU GRENOBLE ALPES, CLIN UNIV MED INTENS & REANIMAT, F-38043 GRENOBLE 9, FRANCE.; ";
 ;NUTRITION CLINIQUE ET METABOLISME;HOSPITAL FOOD AND DIET PRACTICES IN FRENCH HOSPITALS: THE 2017 NATIONAL SURVEY;"VAILLANT, MARIE-FRANCE; FONTAINE, ERIC";" CHU GRENOBLE ALPES, CLIN NUTR ARTIFICIELLE, CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;EMERGING MICROBES & INFECTIONS;FRANCISELLA TULARENSIS: FUPA MUTATION CONTRIBUTES TO FLUOROQUINOLONE RESISTANCE BY INCREASING VESICLE SECRETION AND BIOFILM FORMATION;"SIEBERT, CLAIRE; BOISSET, SANDRINE; MAURIN, MAX; RENESTO, PATRICIA";" CHU GRENOBLE ALPES, CTR NATL REFERENCE FRANCISELLA, GRENOBLE 9, FRANCE.; ";
 ;BMC INFECTIOUS DISEASES;EPIDEMIOLOGICAL SURVEY OF TULAREMIA IN ILAM PROVINCE, WEST OF IRAN;MAURIN, MAX;" CHU GRENOBLE ALPES, INST BIOL & PATHOL, CTR NATL REFERENCE FRANCISELLA TULARENSIS, LAB BACTERIOL, GRENOBLE, FRANCE.; ";
 ;NANOTOXICOLOGY;INVESTIGATING THE TOXIC EFFECTS INDUCED BY IRON OXIDE NANOPARTICLES ON NEUROBLASTOMA CELL LINE: AN INTEGRATIVE STUDY COMBINING CYTOTOXIC, GENOTOXIC AND PROTEOMIC TOOLS;"ASKRI, DALEL; CUNIN, VALERIE; ARNAUD, JOSIANE; SEVE, MICHEL; LEHMANN, SYLVIA G.;";" CHU GRENOBLE ALPES, INST BIOL & PATHOL, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF AFFECTIVE DISORDERS;RECONSIDERATION OF THE FACTORIAL STRUCTURE OF THE BARRATT IMPULSIVENESS SCALE (BIS-11): ASSESSMENT OF IMPULSIVITY IN A LARGE POPULATION OF EUTHYMIC BIPOLAR PATIENTS;"BOUGEROL, THIERRY; POLOSAN, MIRCEA";" CHU GRENOBLE & ALPES, SERV UNIV PSYCHIAT, CTR EXPERT TROUBLES BIPOLAIRES, CS10217, F-38043 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF AFFECTIVE DISORDERS;RECONSIDERATION OF THE FACTORIAL STRUCTURE OF THE BARRATT IMPULSIVENESS SCALE (BIS-11): ASSESSMENT OF IMPULSIVITY IN A LARGE POPULATION OF EUTHYMIC BIPOLAR PATIENTS;"BOUGEROL, T.;; FRECIEMBACH, B.;; GARCON, S.;; GRIGNON, P.;; PERRIN, A.;; POLOSAN, M.;";" CHU GRENOBLE & ALPES, CLIN UNIV PSYCHIAT, GRENOBLE, FRANCE.; ";
 ;RESPIRATORY RESEARCH;IS ATOPY A RISK INDICATOR OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE IN DAIRY FARMERS?;DEGANO, BRUNO;" CHU ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, POLE THORAX & VAISSEAUX, GRENOBLE, FRANCE.; ";
 ;NATURE COMMUNICATIONS;INTEGRATED NMR AND CRYO-EM ATOMIC-RESOLUTION STRUCTURE DETERMINATION OF A HALF-MEGADALTON ENZYME COMPLEX;"MACEK, PAVEL; KERFAH, RIME";" NMR BIO, 5 PL ROBERT SCHUMAN, F-38025 GRENOBLE, FRANCE.; ";
 ;BLOOD ADVANCES;OUTCOMES OF HAPLOIDENTICAL VS MATCHED SIBLING TRANSPLANTATION FOR ACUTE MYELOID LEUKEMIA IN FIRST COMPLETE REMISSION;CAHN, JEAN-YVES;" CHU GRENOBLE ALPES, DEPT HEMATOL, GRENOBLE, FRANCE.; ";
 ;SCIENTIFIC DATA;IEEG-BIDS, EXTENDING THE BRAIN IMAGING DATA STRUCTURE SPECIFICATION TO HUMAN INTRACRANIAL ELECTROPHYSIOLOGY;TADEL, FRANCOIS;" CHU GRENOBLE ALPES, GIN, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;SIX MONTHS VERSUS TWO YEARS OF ORAL ANTICOAGULATION AFTER A FIRST EPISODE OF UNPROVOKED DEEP-VEIN THROMBOSIS. THE PADIS-DVT RANDOMIZED CLINICAL TRIAL;PERNOD, GILLES;" UNIV GRENOBLE 1, CHU GRENOBLE, DEPT MED VASC, F CRIN INNOVTE, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;SIX MONTHS VERSUS TWO YEARS OF ORAL ANTICOAGULATION AFTER A FIRST EPISODE OF UNPROVOKED DEEP-VEIN THROMBOSIS. THE PADIS-DVT RANDOMIZED CLINICAL TRIAL;BOSSON, JEAN-LUC;" UNIV GRENOBLE 1, CHU GRENOBLE, CIC, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;SIX MONTHS VERSUS TWO YEARS OF ORAL ANTICOAGULATION AFTER A FIRST EPISODE OF UNPROVOKED DEEP-VEIN THROMBOSIS. THE PADIS-DVT RANDOMIZED CLINICAL TRIAL;BOSSON, JEAN-LUC;" UNIV GRENOBLE 1, CHU GRENOBLE, CNRS, UMR 5525, GRENOBLE, FRANCE.;";
 ;INDOOR AIR;EFFECTS OF SMOKING BANS ON PASSIVE SMOKING EXPOSURE AT WORK AND AT HOME. THE EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY;PIN, ISABELLE;" CHU GRENOBLE ALPES, DEPT PEDIAT, GRENOBLE, FRANCE.; ";
 ;FORENSIC TOXICOLOGY;NORCARFENTANIL: CARFENTANIL MISUSE OR REMIFENTANIL TREATMENT?;"SAM-LAI, NATHALIE FOUILHE; MALLARET, MICHEL; NEMOZ, BENJAMIN";" CHU, ADDICTOVIGILANCE CTR, F-38043 GRENOBLE, FRANCE.; ";
 ;FORENSIC TOXICOLOGY;NORCARFENTANIL: CARFENTANIL MISUSE OR REMIFENTANIL TREATMENT?;"WILLEMAN, THEO; JOURDIL, JEAN-FRANCOIS; BARTOLI, MIREILLE; NEMOZ, BENJAMIN; STANKE-LABESQUE, FRANCOISE; EYSSERIC-GUERIN, HELENE";" CHU, LAB PHARMACOL PHARMACOGENET & TOXICOL, F-38043 GRENOBLE, FRANCE.; ";
 ;JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES;DISADVANTAGED EARLY-LIFE SOCIOECONOMIC CIRCUMSTANCES ARE ASSOCIATED WITH LOW RESPIRATORY FUNCTION IN OLDER AGE;PISON, CHRISTOPHE;" CHU GRENOBLE ALPES, LAB BIOENERGET FONDAMENTALE & APPL, GRENOBLE, FRANCE.; ";
 ;CLINICAL AND EXPERIMENTAL ALLERGY;DETERMINANTS OF FRACTIONAL EXHALED NITRIC OXIDE IN HEALTHY MEN AND WOMEN FROM THE EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY III;PIN, ISABELLE;" CHU GRENOBLE ALPES, DEPT PEDIAT, GRENOBLE, FRANCE.; ";
 ;INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY;LEARNING CONDYLE REPOSITIONING DURING ORTHOGNATHIC SURGERY WITH A SURGICAL NAVIGATION SYSTEM;"CRACOWSKI, J.; L.;";" CHU GRENOBLE ALPES, CLIN PHARMACOL UNIT, INSERM CIC1406, F-38000 GRENOBLE, FRANCE.;";
 ;ANNALS OF PHYSICAL AND REHABILITATION MEDICINE;BOTULOSCOPE: 1-YEAR FOLLOW-UP OF UPPER LIMB POST-STROKE SPASTICITY TREATED WITH BOTULINUM TOXIN;PERENNOU, DOMINIC;" CHU GRENOBLE ALPES, DEPT MED PHYS & READAPTAT, SITE SUD,AVE KIMBERLEY, F-38130 ECHIROLLES, FRANCE.; ";
 ;ANNALS OF PHYSICAL AND REHABILITATION MEDICINE;ADJUNCT THERAPIES TO IMPROVE OUTCOMES AFTER BOTULINUM TOXIN INJECTION IN CHILDREN: A SYSTEMATIC REVIEW;"MATHEVON, L.;";" CHU GRENOBLE, DEPT PHYS & REHABIL MED, F-38000 GRENOBLE, FRANCE.; ";
 ;BULLETIN DU CANCER;DESCRIPTIVE EPIDEMIOLOGY OF CANCER IN METROPOLITAN FRANCE: INCIDENCE, SURVIVAL AND PREVALENCE;COLONNA, MARC;" CHU GRENOBLE, REGISTRE CANC ISERE, PAVILLON E,CS 10217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;PAIN MEDICINE;SHORT-TERM EFFICIENCY AND TOLERANCE OF KETOPROFEN AND METHYLPREDNISOLONE IN ACUTE SCIATICA: A RANDOMIZED TRIAL;"GASTALDI, ROMAIN; JUVIN, ROBERT; GAUDIN, PHILIPPE; BAILLET, ATHAN";" CHU GRENOBLE ALPES, HOP SUD, RHEUMATOL DEPT, ECHIROLLES, FRANCE.; ";
 ;PAIN MEDICINE;SHORT-TERM EFFICIENCY AND TOLERANCE OF KETOPROFEN AND METHYLPREDNISOLONE IN ACUTE SCIATICA: A RANDOMIZED TRIAL;ROUSTIT, MATTHIEU;" CHU GRENOBLE ALPES, CLIN RES CTR, GRENOBLE, FRANCE.; ";
 ;CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY;IMMUNOLOGIC FEATURES OF PATIENTS WITH ADVANCED HEPATOCELLULAR CARCINOMA BEFORE AND DURING SORAFENIB OR ANTI-PROGRAMMED DEATH-1/PROGRAMMED DEATH-L1 TREATMENT;"JILKOVA, ZUZANA MACEK; DECAENS, THOMAS";" CHU GRENOBLE ALPES, POLE DIGIDUNE, SERV HEPATOGASTROENTEROL, GRENOBLE, FRANCE.; ";
 ;CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY;IMMUNOLOGIC FEATURES OF PATIENTS WITH ADVANCED HEPATOCELLULAR CARCINOMA BEFORE AND DURING SORAFENIB OR ANTI-PROGRAMMED DEATH-1/PROGRAMMED DEATH-L1 TREATMENT;SENGEL, CHRISTIAN;" CHU GRENOBLE ALPES, SERV RADIOL, GRENOBLE, FRANCE.; ";
 ;CLINICAL AND TRANSLATIONAL GASTROENTEROLOGY;IMMUNOLOGIC FEATURES OF PATIENTS WITH ADVANCED HEPATOCELLULAR CARCINOMA BEFORE AND DURING SORAFENIB OR ANTI-PROGRAMMED DEATH-1/PROGRAMMED DEATH-L1 TREATMENT;STURM, NATHALIE;" CHU GRENOBLE ALPES, POLE BIOL, SERV ANATOMOPATHOL, GRENOBLE, FRANCE.;";
 ;JAMA DERMATOLOGY;LOCALIZATION, MORPHOLOGIC FEATURES, AND CHEMICAL COMPOSITION OF CALCIPHYLAXIS-RELATED SKIN DEPOSITS IN PATIENTS WITH CALCIFIC UREMIC ARTERIOLOPATHY;"BLAISE, SOPHIE; LECCIA, MARIE-THERESE; VILLEMUR, BEATRICE";" CHU GRENOBLE, SERV DERMATOL, GRENOBLE, FRANCE.; ";
 ;EUROPEAN RESPIRATORY JOURNAL;DIAGNOSIS AND OUTCOME OF ACUTE RESPIRATORY FAILURE IN IMMUNOCOMPROMISED PATIENTS AFTER BRONCHOSCOPY;TERZI, NICOLAS;" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.; ";
 ;BIOSTATISTICS;FOR A SOUND USE OF HEALTH CARE DATA IN EPIDEMIOLOGY: EVALUATION OF A CALIBRATION MODEL FOR COUNT DATA WITH APPLICATION TO PREDICTION OF CANCER INCIDENCE IN AREAS WITHOUT CANCER REGISTRY;COLONNA, MARC;" CHU GRENOBLE, REGISTRE CANC ISERE, F-38043 GRENOBLE, FRANCE.; ";
 ;NEUROPSYCHOLOGIA;WHAT BILATERAL DAMAGE OF THE SUPERIOR PARIETAL LOBES TELLS US ABOUT VISUAL ATTENTION DISORDERS IN DEVELOPMENTAL DYSLEXIA;"LASSUS-SANGOSSE, D.;; MOREAUD, O.;";" CHU GRENOBLE ALPES, CMRR, POLE PSYCHIAT NEUROL REEDUC NEUROL, GRENOBLE, FRANCE.; ";
 ;ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE;MULTICENTER, PROSPECTIVE, CONTROLLED DOUBLE-BLIND STUDY COMPARING FIB-19-01, A PHYTOTHERAPY TREATMENT, TO A DIETARY SUPPLEMENT AND TO CONVENTIONAL CARE IN PATIENTS SUFFERING FROM FIBROMYALGIA;MAINDET-DOMINICI, CAROLINE;" CHU GRENOBLE ALPES, CTR DOULEUR, GRENOBLE, FRANCE.; ";
 ;COPD-JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE;DIETARY PATTERNS AND PREVALENCE OF POST-BRONCHODILATOR AIRWAY OBSTRUCTION IN DAIRY FARMERS EXPOSED TO ORGANIC DUSTS;DEGANO, BRUNO;" CHU GRENOBLE ALPES, POLE THORAX & VAISSEAUX, SERV HOSP UNIV PNEUMOL PHYSIOL, GRENOBLE, FRANCE.; ";
 ;CIRCULATION;EFFECT OF ALIROCUMAB ON MORTALITY AFTER ACUTE CORONARY SYNDROMES AN ANALYSIS OF THE ODYSSEY OUTCOMES RANDOMIZED CLINICAL TRIAL;BARONE-ROCHETTE, GILLES;" CHU ALBERT MICHALLON, GRENOBLE, FRANCE.; ";
 ;JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;EFFECT OF RECOMBINANT ZOSTER VACCINE ON INCIDENCE OF HERPES ZOSTER AFTER AUTOLOGOUS STEM CELL TRANSPLANTATION A RANDOMIZED CLINICAL TRIAL;BULABOIS, CLAUDE-ERIC;" HOP MICHALLON, CHU GRENOBLE, SERV HEMATOL, GRENOBLE, FRANCE.; ";
 ;HAEMOPHILIA;MANAGEMENT OF BLEEDING AND INVASIVE PROCEDURES IN HAEMOPHILIA A PATIENTS WITH INHIBITOR TREATED WITH EMICIZUMAB (HEMLIBRA (R)): PROPOSALS FROM THE FRENCH NETWORK ON INHERITED BLEEDING DISORDERS (MHEMO), THE FRENCH REFERENCE CENTRE ON HAEMOPHILIA, IN COLLABORATION WITH THE FRENCH WORKING GROUP ON PERIOPERATIVE HAEMOSTASIS (GIHP);ALBALADEJO, PIERRE;" CHU GRENOBLE ALPES, DEPT ANESTHSIE REANIMAT, GRENOBLE, FRANCE.; ";
 ;MOVEMENT DISORDERS;EARLY LIMBIC MICROSTRUCTURAL ALTERATIONS IN APATHY AND DEPRESSION IN DE NOVO PARKINSON'S DISEASE;"LHOMMEE, EUGENIE; PELISSIER, PIERRE; CASTRIOTO, ANNA";" CHU GRENOBLE, MOVEMENT DISORDERS UNIT, NEUROL DEPT, GRENOBLE, FRANCE.; ";
 ;CLINICAL INFECTIOUS DISEASES;LONG-TERM QUALITY OF LIFE IN ADULT PATIENTS SURVIVING PURPURA FULMINANS: AN EXPOSED-UNEXPOSED MULTICENTER COHORT STUDY;TERZI, NICOLAS;" CHU GRENOBLE ALPES, SERV REANIMAT MED, LA TRONCHE, FRANCE.; ";
 ;BRITISH JOURNAL OF CANCER;MENDELIAN RANDOMISATION STUDY OF HEIGHT AND BODY MASS INDEX AS MODIFIERS OF OVARIAN CANCER RISK IN 22,588 BRCA1 AND BRCA2 MUTATION CARRIERS;LEROUX, DOMINIQUE;" CHU GRENOBLE, DEPT GENET, GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN IMMUNOLOGY;EARLY IDENTIFICATION OF CHRONIC LUNG ALLOGRAFT DYSFUNCTION: THE NEED OF BIOMARKERS;CLAUSTRE, JOHANNA;" CHU GRENOBLE ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, GRENOBLE, FRANCE.; ";
 ;CIRCULATION;DEVELOPMENT AND VALIDATION OF A NEW RISK PREDICTION SCORE FOR LIFE-THREATENING VENTRICULAR TACHYARRHYTHMIAS IN LAMINOPATHIES;DIETERICH, KLAUS;" CHU GRENOBLE, INSERM U1216, HOP COUPLE ENFANT, GRENOBLE INST NEUROSCI CELLULAR MYOL & PATHOL, GRENOBLE, FRANCE.; ";
 ;ALLERGY;RISK OF ADULT-ONSET ASTHMA INCREASES WITH THE NUMBER OF ALLERGIC MULTIMORBIDITIES AND DECREASES WITH AGE;CHANOINE, SEBASTIEN;" CHU GRENOBLE ALPES, POLE PHARM, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;CLINICAL AND BIOLOGICAL FEATURES IN PIEZO1-HEREDITARY XEROCYTOSIS AND GARDOS CHANNELOPATHY: A RETROSPECTIVE SERIES OF 126 PATIENTS;BARRO, CLAIRE;" CHU GRENOBLE, LAB HEMATOL BIOL, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;A PHASE II STUDY OF GUADECITABINE IN HIGHER-RISK MYELODYSPLASTIC SYNDROME AND LOW BLAST COUNT ACUTE MYELOID LEUKEMIA AFTER AZACITIDINE FAILURE;PARK, SOPHIE;" CHU GRENOBLE, GRENOBLE, FRANCE.; ";
 ;NEUROBIOLOGY OF DISEASE;SPIKE DISCHARGE CHARACTERISTIC OF THE CAUDAL MESENCEPHALIC RETICULAR FORMATION AND PEDUNCULOPONTINE NUCLEUS IN MPTP-INDUCED PRIMATE MODEL OF PARKINSON DISEASE;"GOETZ, LAURENT; PIALLAT, BRIGITTE; BHATTACHARJEE, MANIK; MATHIEU, HERVE; DAVID, OLIVIER; CHABARDES, STEPHAN";" GRENOBLE INST NEUROSCI, INSERM CEA UJF CHUGA U1216, GRENOBLE, FRANCE.; ";
 ;AMERICAN HEART JOURNAL;RISK FACTORS AND PROGNOSTIC IMPACT OF LEFT VENTRICULAR ASSIST DEVICE-ASSOCIATED INFECTIONS;"DEFAYE, PASCAL; CHAVANON, OLIVIER";" CHU MICHALLON, DEPT CARDIOL & CARDIOVASC SURG, GRENOBLE, FRANCE.; ";
 ;EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE;TOWARDS AN IMPROVED ACCESS TO PSYCHIATRIC REHABILITATION: AVAILABILITY AND EFFECTIVENESS AT 1-YEAR FOLLOW-UP OF PSYCHOEDUCATION, COGNITIVE REMEDIATION THERAPY, COGNITIVE BEHAVIOUR THERAPY AND SOCIAL SKILLS TRAINING IN THE FONDAMENTAL ADVANCED CENTERS OF EXPERTISE-SCHIZOPHRENIA (FACE-SZ) NATIONAL COHORT;"LLORCA, P.; M.;; CHEREAU, I; BLANC, O.;; CHEREAU-BOUDET, I; DENIZOT, H.;; LACELLE, D.;; LLORCA; PIRES, S.;; TRONCHE, A.; M.;";" UNIV AUVERGNE, EA FAC MED 7280, CHU, CMP B, BP 69, F-63003 CLERMONT FERRAND 1, FRANCE.; ";
