UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE
;ARCHIVES DES MALADIES PROFESSIONNELLES ET DE L ENVIRONNEMENT;IMPACT OF SARS-COV2 INFECTION IN PREGNANT WOMEN AND ITS OCCUPATIONAL HEALTH CONSEQUENCES;BONNETERRE, V;" CHU GRENOBLE, SERV CONSULTAT PATHOL PROFESS, F-38043 GRENOBLE, FRANCE.;"
;CANCERS;IMPLEMENTING CTDNA ANALYSIS IN THE CLINIC: CHALLENGES AND OPPORTUNITIES IN NON-SMALL CELL LUNG CANCER;"GOBBINI, ELISA; GIAJ LEVRA, MATTEO; TOFFART, ANNE-CLAIRE; MORO-SIBILOT, DENIS";" CHU GRENOBLE ALPES, THORAC ONCOL UNIT, F-38700 GRENOBLE, FRANCE.; "
;ARCHIVES OF CARDIOVASCULAR DISEASES;SEPTUAGENARIAN POPULATION HAS SIMILAR SURVIVAL AND OUTCOMES TO YOUNGER PATIENTS AFTER LEFT VENTRICULAR ASSIST DEVICE IMPLANTATION;"BOIGNARD, AUDE; CHAVANON, OLIVIER";" CHU GRENOBLE, HOP ALBERT MICHALLON, DEPT CARDIOL & CARDIOVASC SURG, F-38700 LA TRONCHE, FRANCE.; "
;SENSORS;FOOT-WORN INERTIAL SENSORS ARE RELIABLE TO ASSESS SPATIOTEMPORAL GAIT PARAMETERS IN AXIAL SPONDYLOARTHRITIS UNDER SINGLE AND DUAL TASK WALKING IN AXIAL SPONDYLOARTHRITIS;SOULARD, JULIE;" CHU GRENOBLE ALPES, F-38000 GRENOBLE, FRANCE.; "
;JOURNAL OF BIOMEDICAL OPTICS;ABSOLUTE RETINAL BLOOD FLOWMETER USING A LASER DOPPLER VELOCIMETER COMBINED WITH ADAPTIVE OPTICS;"APTEL, FLORENT; CHIQUET, CHRISTOPHE";" CHU GRENOBLE ALPES, HP2, INSERM, GRENOBLE, FRANCE.;"
;MEDECINE NUCLEAIRE-IMAGERIE FONCTIONNELLE ET METABOLIQUE;ANNOUNCING RESULTS FROM NUCLEAR MEDICINE TESTS: CHALLENGES AND THOUGHTS;VUILLEZ, J-P;" CHU GRENOBLE, SERV MED NUCL, F-38700 LA TRONCHE, FRANCE.; "
;JOURNAL OF ELECTROCARDIOLOGY;PROGNOSTIC SIGNIFICANCE OF A LOW T/R RATIO IN BRUGADA SYNDROME;DEFAYE, PASCAL;" CHU GRENOBLE, SERV RYTHMOL, DEPT CARDIOL, GRENOBLE, FRANCE.; "
;BRAIN STIMULATION;COHERENCE BETWEEN THE HIPPOCAMPUS AND ANTERIOR THALAMIC NUCLEUS AS A TOOL TO IMPROVE THE EFFECT OF NEUROSTIMULATION IN TEMPORAL LOBE EPILEPSY: AN EXPERIMENTAL STUDY;CHABARDES, STEPHAN;" CHU GRENOBLE ALPES, DEPT NEUROSURG, F-38000 GRENOBLE, FRANCE.; "
;OPEN FORUM INFECTIOUS DISEASES;ASSESSMENT OF RESPIRATORY BACTERIAL COINFECTIONS AMONG SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2-POSITIVE PATIENTS HOSPITALIZED IN INTENSIVE CARE UNITS USING CONVENTIONAL CULTURE AND BIOFIRE, FILMARRAY PNEUMONIA PANEL PLUS ASSAY;"BOISSET, SANDRINE; CASPAR, YVAN";" CHU GRENOBLE, INST BIOL & PATHOL, LAB BACTERIOL, GRENOBLE, FRANCE.; "
;NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS;THE EFFECTS OF ACUTE NICOTINE ADMINISTRATION ON COGNITIVE AND EARLY SENSORY PROCESSES IN SCHIZOPHRENIA: A SYSTEMATIC REVIEW;DONDE, CLEMENT;" CHU GRENOBLE ALPES, PSYCHIAT DEPT, F-38000 GRENOBLE, FRANCE.; "
;HUMAN MUTATION;NEXT-GENERATION SEQUENCING IN A SERIES OF 80 FETUSES WITH COMPLEX CARDIAC MALFORMATIONS AND/OR HETEROTAXY;"JOUK, PIERRE-SIMON; THEVENON, JULIEN";" CHU GRENOBLE ALPES, DEPT GENET & REPROD, GRENOBLE, FRANCE.; "
;ACTA NEUROPATHOLOGICA COMMUNICATIONS;CHROMOSOMAL INSTABILITY IN THE PREDICTION OF PITUITARY NEUROENDOCRINE TUMORS PROGNOSIS;STURM, NATHALIE;" CHU GRENOBLE ALPES, DEPT ANAT & CYTOL PATHOL, GRENOBLE, FRANCE.; "
;NATURE COMMUNICATIONS;IN-PLANE UNIAXIAL PRESSURE-INDUCED OUT-OF-PLANE ANTIFERROMAGNETIC MOMENT AND CRITICAL FLUCTUATIONS IN BAFE2AS2;SCHMALZL, KARIN;" FORSCHUNGSZENTRUM JULICH, JULICH CTR NEUTRON SCI ILL, 71 AVE MARTYRS, F-38000 GRENOBLE, FRANCE.; "
;AMERICAN JOURNAL OF HEMATOLOGY;SPLENECTOMY BEFORE ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTATION FOR MYELOFIBROSIS: A FRENCH NATIONWIDE STUDY;MEUNIER, MATHIEU;" CHU GRENOBLE ALPES, DEPT HEMATOL, GRENOBLE, FRANCE.; "
;JOURNAL OF CLINICAL APHERESIS;ISOAGGLUTININ REMOVAL BY PLASMA CENTRIFUGATION OR FILTRATION (SINGLE OR DOUBLE): A PROSPECTIVE STUDY IN A SINGLE CENTER;"BENNANI, HAMZA NACIRI; NOBLE, JOHAN; CHEVALLIER, ELOI; TERREC, FLORIAN; MOTTE, LIONEL; BUGNAZET, MATHILDE; IMERZOUKENE, FARIDA; JANBON, BENEDICTE; MALVEZZI, PAOLO; ROSTAING, LIONEL; JOUVE, THOMAS";" CHU GRENOBLE ALPES, SERV NEPHROL HEMODIALYSE APHERESES & TRANSPLANTAT, CS 10217, F-38043 GRENOBLE 09, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MANAGEMENT OF PHARMACEUTICAL AND RECREATIONAL DRUG POISONING;DEBATY, GUILLAUME;" UNIV GRENOBLE ALPS, CNRS, CHU GRENOBLE ALPES, TIMC, GRENOBLE, FRANCE.; "
;FRONTIERS IN PHYSIOLOGY;INTERMITTENT HYPOXIA MEDIATES CAVEOLAE DISASSEMBLY THAT PARALLELS INSULIN RESISTANCE DEVELOPMENT;"BELAIDI, ELISE; ARNAUD, CLAIRE";" UNIV GRENOBLE AIPES, HP2, CHU GRENOBLE ALPES, INSERM, GRENOBLE, FRANCE.; "
;SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES;INTRAOPERATIVE NASOGASTRIC TUBE DURING COLORECTAL SURGERY MAY NOT BE MANDATORY: A PROPENSITY SCORE ANALYSIS OF A PROSPECTIVE DATABASE;MEILLAT, HELENE;" UNIV GRENOBLE, DEPT VISCERAL SURG, CHU GRENOBLE, F-38700 LA TRONCHE, FRANCE.; "
;MOLECULAR AND CELLULAR ENDOCRINOLOGY;PATERNAL EPIGENETICS: MAMMALIAN SPERM PROVIDE MUCH MORE THAN DNA AT FERTILIZATION;"RAY, PIERRE F.;";" CHU GRENOBLE, UM GI DPI, F-38000 GRENOBLE, FRANCE.;"
;ANTIMICROBIAL AGENTS AND CHEMOTHERAPY;IMPACT OF LOADING DOSE OF CASPOFUNGIN IN PHARMACOKINETIC-PHARMACODYNAMIC TARGET ATTAINMENT FOR SEVERE CANDIDIASIS INFECTIONS IN PATIENTS IN INTENSIVE CARE UNITS: THE CASPOLOAD STUDY;GAUTIER-VEYRET, ELODIE;" CHU GRENOBLE ALPES, BIOL & PATHOL DEPT, LAB PHARMACOL PHARMACOGENET TOXICOL, GRENOBLE, FRANCE.; "
;SCIENCE & SPORTS;ACUTE TRAUMATOLOGY OF BADMINTON: EPIDEMIOLOGICAL STUDY ABOUT 140 CASES;"SARAGAGLIA, D.;; SALIBA-RANSON, P.;; BANIHACHEMI, J.; J.;";" CHU GRENOBLE ALPES, HOP SUD, SERV CHIRURG ARTHROSE & SPORT URGENCES TRAUMAT ME, CLAIX, FRANCE.;"
;CANCER RADIOTHERAPIE;PATTERNS OF PRACTICE OF ANDROGEN DEPRIVATION THERAPY COMBINED TO RADIOTHERAPY IN FAVORABLE AND UNFAVORABLE INTERMEDIATE RISK PROSTATE CANCER. RESULTS OF THE PROACT SURVEY FROM THE FRENCH GETUG RADIATION ONCOLOGY GROUP;"BOLLA, M.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; "
;TRANSPLANTATION PROCEEDINGS;CHRONIC HEPATITIS C VIRUS INFECTION AFTER KIDNEY TRANSPLANTATION WITH MULTICENTER EXPERIENCE;"CHEVALLIER, ELOI; ROSTAING, LIONEL";" CHU GRENOBLE ALPES, DEPT NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRAN, GRENOBLE, FRANCE.; "
;BULLETIN DU CANCER;INDICATIONS AND MANAGEMENT OF HEMATOLOGIC MICROTRANSPLANTATION: RECOMMENDATIONS OF THE FRENCH SOCIETY OF BONE MARROW TRANSPLANTATION AND CELLULAR THERAPY (SFGM-TC);CARRE, MARTIN;" CHU GRENOBLE, CLIN UNIV HEMATOL, BLVD CHANTOURNE, F-38700 LA TRONCHE, FRANCE.; "
;DIAGNOSTIC AND INTERVENTIONAL IMAGING;ARTIFICIAL INTELLIGENCE SOLUTION TO CLASSIFY PULMONARY NODULES ON CT;"FERRETTI, G.;";" CHU GRENOBLE ALPES, DEPT RADIOL & MED IMAGING, F-38700 GRENOBLE, FRANCE.; "
;JOURNAL OF PEDIATRIC SURGERY;OUTCOMES OF LAPAROSCOPIC AND OPEN SURGICAL TREATMENT OF INTESTINAL MALROTATION IN CHILDREN;RABATTU, PIERRE-YVES;" CHU GRENOBLE, DEPT PEDIAT SURG, GRENOBLE, FRANCE.; "
;CANCERS;CIRCULATING IL-13 IS ASSOCIATED WITH DE NOVO DEVELOPMENT OF HCC IN HCV-INFECTED PATIENTS RESPONDING TO DIRECT-ACTING ANTIVIRALS;"JILKOVA, ZUZANA MACEK; LEROY, VINCENT; DECAENS, THOMAS";" CHU GRENOBLE ALPES, SERV HEPATO GASTROENTEROL, POLE DIGIDUNE, F-38043 GRENOBLE, FRANCE.; "
;CANCERS;CIRCULATING IL-13 IS ASSOCIATED WITH DE NOVO DEVELOPMENT OF HCC IN HCV-INFECTED PATIENTS RESPONDING TO DIRECT-ACTING ANTIVIRALS;SEIGNEURIN, ARNAUD;" CHU GRENOBLE ALPES, SERV EVALUAT MED, F-38043 GRENOBLE, FRANCE.; "
;JOURNAL OF CLINICAL MEDICINE;CIRCULATING TUMOR DNA AS A PROGNOSTIC DETERMINANT IN SMALL CELL LUNG CANCER PATIENTS RECEIVING ATEZOLIZUMAB;MORO-SIBILOT, DENIS;" CHU GRENOBLE ALPES, THORAC ONCOL UNIT, F-38700 GRENOBLE, FRANCE.; "
;BRAIN SCIENCES;TREATMENT-RESISTANT DEPRESSION IN A REAL-WORLD SETTING: FIRST INTERIM ANALYSIS OF CHARACTERISTICS, HEALTHCARE RESOURCE USE, AND UTILITY VALUES OF THE FONDAMENTAL COHORT;"BOUGEROL, THIERRY; HOLTZMANN, JEROME";" CHU GRENOBLE ALPES, GRENOBLE INST NEUROSCI, SERV PSYCHIAT ADULTE, F-38000 GRENOBLE, FRANCE.; "
;INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS;GENOMIC TRAJECTORIES TO FLUOROQUINOLONE RESISTANCE IN FRANCISELLA TULARENSIS SUBSP. HOLARCTICA LIVE VACCINE STRAIN;"SUTERA, VIVIEN; HENNEBIQUE, AURELIE; MAURIN, MAX";" CTR NATL REFERENCE FRANCISELLA TULARENSIS, INST BIOL & PATHOL, LAB BACTERIOL, CHU GRENOBLE ALPES, GRENOBLE, FRANCE.; "
;JOURNAL OF APPLIED PHYSIOLOGY;NEVER-SMOKERS WITH OCCUPATIONAL COPD HAVE BETTER EXERCISE CAPACITIES AND VENTILATORY EFFICIENCY THAN MATCHED SMOKERS WITH COPD;DEGANO, BRUNO;" CHU GRENOBLE ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, POLE THORAX & VAISSEAUX, GRENOBLE, FRANCE.; "
;JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY;PROGNOSTIC IMPORTANCE OF LEFT VENTRICULAR GLOBAL LONGITUDINAL STRAIN IN PATIENTS WITH SEVERE AORTIC STENOSIS AND PRESERVED EJECTION FRACTION;ENNEZAT, PIERRE-VLADIMIR;" CHU GRENOBLE, GRENOBLE, FRANCE.; "
;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;MID-TERM RESULTS OF 119 TAPERLOC MICROPLASTY (TM) FEMORAL STEMS AFTER A MEAN 61 MONTHS (50-82) OF FOLLOW-UP;SARAGAGLIA, DOMINIQUE;" CHU GRENOBLE ALPES SITE VOIRON, SERV CHIRURG ORTHOPED, ROUTE GORGES, F-38500 VOIRON, FRANCE.; "
;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;MID-TERM RESULTS OF 119 TAPERLOC MICROPLASTY (TM) FEMORAL STEMS AFTER A MEAN 61 MONTHS (50-82) OF FOLLOW-UP;ORFEUVRE, BENOIT;" CHU GRENOBLE ALPES, HOP SUD, URGENCES TRAUMAT MEMBRES, SERV CHIRURG ARTHROSE & SPORT, F-38130 ECHIROLLES, FRANCE.;"
;JOINT BONE SPINE;RECOMMENDATIONS OF THE FRENCH SOCIETY OF RHEUMATOLOGY ON PHARMACOLOGICAL TREATMENT OF KNEE OSTEOARTHRITIS;GRANGE, LAURENT;" CHU GRENOBLE ALPES, AFLAR, SERV RHUMATOL, F-38000 GRENOBLE, FRANCE.; "
;AMERICAN JOURNAL OF EPIDEMIOLOGY;REGULAR PHYSICAL ACTIVITY LEVELS AND INCIDENCE OF RESTRICTIVE SPIROMETRY PATTERN: A LONGITUDINAL ANALYSIS OF 2 POPULATION-BASED COHORTS;PIN, ISABELLE;" CHU GRENOBLE ALPES, DEPT PEDIAT, GRENOBLE, FRANCE.; "
;REVUE DE MEDECINE INTERNE;ACQUIRED ANGIOEDEMA DUE TO C1-INHIBITOR DEFICIENCY: CREAK RECOMMENDATIONS FOR DIAGNOSIS AND TREATMENT;"DEFENDI, F.;";" CHU GRENOBLE ALPES, LAB IMMUNOL, GRENOBLE, FRANCE.; "
;REVUE DE MEDECINE INTERNE;ACQUIRED ANGIOEDEMA DUE TO C1-INHIBITOR DEFICIENCY: CREAK RECOMMENDATIONS FOR DIAGNOSIS AND TREATMENT;"HARDY, G.;";" CHU GRENOBLE ALPES, UM GENET MOL MALAD HEREDITAIRES & ONCOL, GRENOBLE, FRANCE.; "
;ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH;MEDIUM-TERM SURVIVAL AND CLINICAL AND RADIOLOGICAL RESULTS IN HIGH TIBIAL OSTEOTOMY: FACTORS FOR FAILURE AND COMPARISON WITH UNICOMPARTMENTAL ARTHROPLASTY;PAILHE, REGIS;" CHU GRENOBLE, LAB TIMC GMCAO UMR 5525, SERV CHIRURG ARTHROSE & SPORT, URGENCES TRAUMAT MEMBRES,HOP SUD, F-38000 GRENOBLE, FRANCE.; "
;BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM;GENETICS OF TERATOZOOSPERMIA: BACK TO THE HEAD;"KHERRAF, ZINE-EDDINE; MARTINEZ, GUILLAUME; CELSE, TRISTAN; RAY, PIERRE F.;; COUTTON, CHARLES";" CHU GRENOBLE, UM GI DPI, F-38000 GRENOBLE, FRANCE.; "
;BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM;GENETICS OF TERATOZOOSPERMIA: BACK TO THE HEAD;"MARTINEZ, GUILLAUME; CELSE, TRISTAN; COUTTON, CHARLES";" CHU GRENOBLE ALPES, UM GENET CHROMOSOM, GRENOBLE, FRANCE.;"
;FRONTIERS IN MEDICINE;ACUTE AND CHRONIC SARCOID ARTHROPATHIES: CHARACTERISTICS AND TREATMENTS FROM A RETROSPECTIVE NATIONWIDE FRENCH STUDY;DEROUX, ALBAN;" CHU GRENOBLE, SERV MED INTERNE, LA TRONCHE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;OPTIMIZATION OF VORICONAZOLE THERAPY FOR TREATMENT OF INVASIVE ASPERGILLOSIS: PHARMACOGENOMICS AND INFLAMMATORY STATUS NEED TO BE EVALUATED;"THIEBAUT-BERTRAND, ANNE; DEPEISSES, JULIE; SCHACHERER, MATHILDE";" CHU GRENOBLE ALPES, HEMATOL CLIN, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;OPTIMIZATION OF VORICONAZOLE THERAPY FOR TREATMENT OF INVASIVE ASPERGILLOSIS: PHARMACOGENOMICS AND INFLAMMATORY STATUS NEED TO BE EVALUATED;"BOLCATO, LEA; FONROSE, XAVIER";" CHU GRENOBLE ALPES, LAB PHARMACOL PHARMACOGENET & TOXICOL, GRENOBLE, FRANCE.;"
;BRITISH JOURNAL OF HAEMATOLOGY;CLINICAL AND BIOLOGICAL FEATURES OF B-CELL NEOPLASMS WITH CDK6 TRANSLOCATIONS: AN ASSOCIATION WITH A SUBGROUP OF SPLENIC MARGINAL ZONE LYMPHOMAS DISPLAYING FREQUENT CD5 EXPRESSION, PROLYMPHOCYTIC CELLS, AND TP53 ABNORMALITIES;LEFEBVRE, CHRISTINE;" CHU GRENOBLE, LAB CYTOGENET ONCOHEMATOL, GRENOBLE, FRANCE.; "
;NPJ PARKINSONS DISEASE;A RANDOMIZED CONTROLLED DOUBLE-BLIND STUDY OF ROTIGOTINE ON NEUROPSYCHIATRIC SYMPTOMS IN DE NOVO PD;"CASTRIOTO, A.;; LHOMMEE, E.;; BICHON, A.;; SCHMITT, E.;; PELISSIER, P.;; MORO, E.;; FRAIX, V.;; KRACK, P.;";" CHU GRENOBLE ALPES, MOVEMENT DISORDERS CTR, NEUROL, GRENOBLE, FRANCE.; "
;NPJ PARKINSONS DISEASE;A RANDOMIZED CONTROLLED DOUBLE-BLIND STUDY OF ROTIGOTINE ON NEUROPSYCHIATRIC SYMPTOMS IN DE NOVO PD;"QUESADA, J.; L.;";" CHU GRENOBLE ALPES, INSERM, CLIN PHARMACOL UNIT, CIC 1406, GRENOBLE, FRANCE.; "
;NEUROLOGY;ASYMMETRIC MUSCLE WEAKNESS DUE TO ACTA1 MOSAIC MUTATIONS;MONNIER, NICOLE;" CHU GRENOBLE ALPES, IBP, LAB BIOCHIM GENET & MOL, GRENOBLE, FRANCE.; "
;EXPERT REVIEW OF CLINICAL PHARMACOLOGY;PRE-EXISTING DIABETES AND PTDM IN KIDNEY TRANSPLANT RECIPIENTS: HOW TO HANDLE IMMUNOSUPPRESSION;"CHEVALLIER, ELOI; JOUVE, THOMAS; ROSTAING, LIONEL; MALVEZZI, PAOLO; NOBLE, JOHAN";" CHU GRENOBLE ALPES, SERV NEPHROL HEMODIALYSE APHERESES & TRANSPLANTAT, GRENOBLE, FRANCE.; "
;BONE MARROW TRANSPLANTATION;SCORING SYSTEM FOR CLINICALLY SIGNIFICANT CMV INFECTION IN SEROPOSITIVE RECIPIENTS FOLLOWING ALLOGENIC HEMATOPOIETIC CELL TRANSPLANT: AN SFGM-TC STUDY;THIEBAUT, ANNE;" CHU GRENOBLE, HEMATOL DEPT, GRENOBLE, FRANCE.; "
;ARTHRITIS & RHEUMATOLOGY;TEMPORAL ARTERITIS REVEALING ANTINEUTROPHIL CYTOPLASMIC ANTIBODY-ASSOCIATED VASCULITIDES: A CASE-CONTROL STUDY;DEROUX, ALBAN;" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.; "
;JOURNAL OF CLINICAL APHERESIS;TREATMENT OF REFRACTORY MYASTHENIA GRAVIS BY DOUBLE-FILTRATION PLASMAPHERESIS AND RITUXIMAB: A CASE SERIES OF NINE PATIENTS AND LITERATURE REVIEW;"BENNANI, HAMZA N.;; NOBLE, JOHAN; MALVEZZI, PAOLO; MOTTE, LIONEL; CHEVALLIER, ELOI; ROSTAING, LIONEL; JOUVE, THOMAS";" CHU GRENOBLE, SERV NEPHROL HEMODIALYSE APHERESES & TRANSPLANTAT, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; "
;JOURNAL OF CLINICAL APHERESIS;TREATMENT OF REFRACTORY MYASTHENIA GRAVIS BY DOUBLE-FILTRATION PLASMAPHERESIS AND RITUXIMAB: A CASE SERIES OF NINE PATIENTS AND LITERATURE REVIEW;LAGRANGE, EMMELINE;" CHU GRENOBLE, EXPLORAT FONCT SYST NERVEUX INSTEAD SERV NEUROL, LA TRONCHE, FRANCE.; "
;INTERNATIONAL JOURNAL OF CARDIOLOGY;SARCOIDOSIS DIAGNOSED ON GRANULOMAS IN THE EXPLANTED HEART AFTER TRANSPLANTATION: RESULTS OF A FRENCH NATIONWIDE STUDY* , **;BOIGNARD, AUDE;" CHU GRENOBLE, SERV CHIRURG CARDIAQUE, F-38700 LA TRONCHE, FRANCE.; "
;LEUKEMIA;RECOMMENDATIONS FOR CYTOGENOMIC ANALYSIS OF HEMATOLOGIC MALIGNANCIES: COMMENTS FROM THE FRANCOPHONE GROUP OF HEMATOLOGICAL CYTOGENETICS (GFCH);LEFEBVRE, CHRISTINE;" CHU GRENOBLE ALPES, INST BIOL & PATHOL, UNITE GENET HEMOPATHIES, F-38043 GRENOBLE, FRANCE.; "
;ANNALS OF THE RHEUMATIC DISEASES;INFLAMMATORY BOWEL DISEASES AMONG SECUKINUMAB-TREATED PATIENTS: 24 CASES FROM THE MISSIL REGISTRY;"GAUDIN, P.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; "
;ANNALS OF THE RHEUMATIC DISEASES;VALVULOPATHY, SYSTOLIC AND DIASTOLIC DYSFUNCTION IN AXIAL SPONDYLOARTHRITIS: A SYSTEMATIC REVIEW AND META-ANALYSIS;"ADELINE, F.;; ROMAND, X.;; DALECKY, M.;; GAUDIN, P.;; BAILLET, A.;";" CHU GRENOBLE ALPES, RHEUMATOL, GRENOBLE, FRANCE.; "
;NEPHROLOGY DIALYSIS TRANSPLANTATION;EFFECT OF ANEMIA ON EFFICACY AND SAFETY OF CHRONIC HEPATITIS C TREATMENT AMONG RENAL PATIENTS USING DIRECT ACTING ANTI-VIRUS;ROSTAING, LIONEL;" CHU GRENOBLE ALPES, NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRANSPLAN, LA TRONCHE, FRANCE.; "
;NEPHROLOGY DIALYSIS TRANSPLANTATION;ARE DIRECT-ACTING ANTI-VIRAL DRUGS ACCUSED OF INCREASED INCIDENCE OF HEPATOCELLULAR CARCINOMA IN ENDEMIC AREA: A PILOT STUDY;ROSTAING, LIONEL;" CHU GRENOBLE ALPES, NEPHROL HEMODIALYSIS APHERESIS & KIDNEY TRANSPLAN, LA TRONCHE, FRANCE.; "
;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;IMPLEMENTING CLINICAL PHARMACY SERVICES IN FRANCE: ONE OF THE KEY POINTS TO MINIMISE THE EFFECT OF THE SHORTAGE OF PHARMACEUTICAL PRODUCTS IN ANAESTHESIA OR INTENSIVE CARE UNITS?;"ALLENET, B.;";" CHU GRENOBLE, DEPT PHARM, GRENOBLE, FRANCE.; "
;ANNALES D ENDOCRINOLOGIE;COVID-19: THE CHALLENGES FACING ENDOCRINOLOGY;CHABRE, OLIVIER;" CHU GRENOBLE, HOP ALBERT MICHALLON, SERV ENDOCRINOL, DIABETOL,NUTR, F-38043 GRENOBLE 9, FRANCE.; "
;DIAGNOSTIC AND INTERVENTIONAL IMAGING;COVID-19 PANDEMIC: A STRESS TEST FOR INTERVENTIONAL RADIOLOGY;"KASTLER, A.;";" CHU GRENOBLE, DEPT RADIOL, BLVD CHANTOURNE, F-38700 LA TRONCHE, FRANCE.;"
;JOINT BONE SPINE;SKIN NECROSIS FOLLOWING INTRA-ARTICULAR HYALURONIC ACID INJECTION IN THE KNEE OF A 63-YEAR-OLD MALE;"DELORME, LISA; LECCIA, MARIE-THERESE";" CHU GRENOBLE ALPES, SERV DERMATOL, F-38700 LA TRONCHE, FRANCE.; "
;JOINT BONE SPINE;SKIN NECROSIS FOLLOWING INTRA-ARTICULAR HYALURONIC ACID INJECTION IN THE KNEE OF A 63-YEAR-OLD MALE;CLAY, MARINE;" CHU GRENOBLE ALPES, SERV RHUMATOL, F-38130 ECHIROLLES, FRANCE.;"
;CANCER RESEARCH;PINPOINTING THE ORIGINS OF PEDIATRIC BRAIN TUMORS USING SINGLE-CELL TRANSCRIPTOMIC ANALYSIS;POREAU, BRICE;" CHU GRENOBLE, LA TRONCHE, FRANCE.; "
;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE;ANGIOTENSIN-CONVERTING ENZYME AND DIPEPTIDYL PEPTIDASE-4 INHIBITOR-INDUCED ANGIOEDEMA: A DISPROPORTIONALITY ANALYSIS OF THE WHO PHARMACOVIGILANCE DATABASE;"LEPELLEY, MARION; KHOURI, CHARLES";" CHU GRENOBLE ALPES, CTR REG PHARMACOVIGILANCE, GRENOBLE, FRANCE.; "
;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE;ANGIOTENSIN-CONVERTING ENZYME AND DIPEPTIDYL PEPTIDASE-4 INHIBITOR-INDUCED ANGIOEDEMA: A DISPROPORTIONALITY ANALYSIS OF THE WHO PHARMACOVIGILANCE DATABASE;BOUILLET, LAURENCE;" CHU GRENOBLE ALPES, MED INTERNE, CTR NATL REFERENCE ANGIOEDEMES BRADYKIN, GRENOBLE, FRANCE.;"
;CLINICAL OTOLARYNGOLOGY;MANAGEMENT OF CN0 LOW-GRADE MUCOEPIDERMOID CARCINOMAS OF SALIVARY GLANDS: PROSPECTIVE MULTICENTRE STUDY OF 152 CASES OF THE FRENCH NETWORK OF RARE HEAD AND NECK TUMORS (REFCOR);RIGHINI, CHRISTIAN-ADRIEN;" CHU GRENOBLE, SERV ORL & CHIRURG CERV FACIALE, GRENOBLE, FRANCE.; "
;LEUKEMIA;LONG-TERM FOLLOW-UP OF JAK2 EXON 12 POLYCYTHEMIA VERA: A FRENCH INTERGROUP OF MYELOPROLIFERATIVE NEOPLASMS (FIM) STUDY;TONDEUR, SYLVIE;" CHU GRENOBLE, LAB GENET HEMOPATHIES, INST BIOL & PATHOL, GRENOBLE, FRANCE.; "
;CLINICAL NEUROPHYSIOLOGY;MODULATION OF VISUAL HALLUCINATIONS ORIGINATING FROM DEAFFERENTED OCCIPITAL CORTEX BY ROBOTIZED TRANSCRANIAL MAGNETIC STIMULATION;VERCUEIL, LAURENT;" CHU GRENOBLE ALPES, DEPT NEUROL, NEUROPHYSIOL UNIT, F-38000 GRENOBLE, FRANCE.;"
;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;ALMITRINE AS A NON-VENTILATORY STRATEGY TO IMPROVE INTRAPULMONARY SHUNT IN COVID-19 PATIENTS;CHAMPIGNEULLE, BENOIT;" CHU GRENOBLE ALPES, POLE ANESTHESIE REANIMAT, F-38000 GRENOBLE, FRANCE.; "
;ARCHIVES DES MALADIES PROFESSIONNELLES ET DE L ENVIRONNEMENT;RETURN TO WORK IN THE COVID-19 EPIDEMIC;BONNETERRE, V;" CHU GRENOBLE ALPES, SERV HOSP UNIV MED & SANTE TRAVAIL, F-38700 LA TRONCHE, FRANCE.; "
;ALLERGY;CHANGES IN DISEASE ACTIVITY AND TREATMENT PATTERNS IN PATIENTS WITH CHRONIC URTICARIA DURING PREGNANCY: RESULTS OF THE PREG-CU STUDY, A UCARE PROJECT;"BOULLIET, L.;";" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.;"
