halId_s;version_i;uri_s;docType_s;doiId_s;nntId_s;title_s;subTitle_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;journalPublisher_s;volume_s;number_s;page_s;en_keyword_s;keyword_s;fr_keyword_s;conferenceTitle_s;conferenceStartDate_s;country_s;language_s;inPress_bool
hal-02294592;1;https://hal.archives-ouvertes.fr/hal-02294592;ART;10.1016/j.polymertesting.2018.07.017;;In-situ X-ray computed tomography of decompression failure in a rubber exposed to high-pressure gas;;Sylvie Castagnet,David Mellier,Azdine Nait- Ali,Guillaume Benoit;2018-09;0.phys,1.phys.meca,2.phys.meca.mefl,0.phys,1.phys.meca,2.phys.meca.msmeca,0.spi,1.spi.acou,0.spi,1.spi.auto,0.spi,1.spi.elec,0.spi,1.spi.fluid,0.spi,1.spi.nrj,0.phys,1.phys.meca,2.phys.meca.ther,0.phys,1.phys.meca,2.phys.meca.vibr,0.phys,1.phys.mphy,0.phys,1.phys.qphy,0.phys,1.phys.meca,2.phys.meca.acou,0.phys,1.phys.meca,2.phys.meca.biom,0.chim,1.chim.mate,0.chim,1.chim.poly;Polymer Testing;Elsevier;70;;255-262;EPDM,Hydrogen,Cavitation,Representative volume element RVE,Cavity field;EPDM,Hydrogen,Cavitation,Representative volume element RVE,Cavity field;;;;;en;false
hal-01847191;1;https://hal.archives-ouvertes.fr/hal-01847191;ART;10.1177/0309324718797765;;Fast 4D tensile test monitored via X-CT: Single projection based Digital Volume Correlation dedicated to slender samples;;Clément Jailin,Ante Buljac,Amine Bouterf,François Hild,Stephane Roux;2018;0.phys,1.phys.meca,2.phys.meca.mema;Journal of Strain Analysis for Engineering Design;SAGE Publications;53;;473-484;Model reduction,Tomography,In situ test,4D measurements,Digital Volume Correlation;Model reduction,Tomography,In situ test,4D measurements,Digital Volume Correlation;;;;;en;false
hal-01833003;1;https://hal.archives-ouvertes.fr/hal-01833003;ART;10.1002/asia.201800551;;Hyperpolarized NMR: d-DNP\, PHIP\, and SABRE;;Kirill Viktorovich Kovtunov,Ekaterina Pokochueva,Oleg Salnikov,Samuel Cousin,Dennis Kurzbach,Basile Vuichoud,Sami Jannin,Eduard Chekmenev,Boyd Goodson,Danila Barskiy,Igor Koptyug;2018;0.chim,1.chim.anal;Chemistry - An Asian Journal;Wiley-VCH Verlag;;;Accepted manuscript online;;;;;;;en;false
hal-01771215;1;https://hal-univ-rennes1.archives-ouvertes.fr/hal-01771215;ART;10.1016/j.canrad.2017.12.001;;External beam radiotherapy cone beam computed tomography-based dose calculation;;Anais Barateau,Marc Celeste,Caroline Lafond,Olivier Henry,Solene Couespel,Antoine Simon,Oscar Acosta,Renaud de Crevoisier,Nicolas Perichon;2018-02;0.sdv,1.sdv.ib;Cancer Radiothérapie;Elsevier Masson;22;;105;;;;;;;en;false
hal-01885326;1;https://hal-mines-paristech.archives-ouvertes.fr/hal-01885326;ART;10.1016/j.cageo.2018.01.016;;A parallel competitive Particle Swarm Optimization for non-linear first arrival traveltime tomography and uncertainty quantification;;Keurfon Luu,Mark Noble,Alexandrine Gesret,Nidhal Belayouni,Pierre-François Roux;2018-04;0.phys,1.phys.phys,2.phys.phys.phys-geo-ph,0.info,1.info.info-dc;Computers & Geosciences;Elsevier;113;;81 - 93;;;;;;;en;false
hal-02020316;1;https://hal.archives-ouvertes.fr/hal-02020316;ART;10.1364/OL.43.001918;;Spin-orbital angular momentum tomography of a chiral plasmonic lens using leakage radiation microscopy;;Airong Zhao,Aline Pham,Nessim Jebali,Aurélien Drezet;2018;0.phys;Optics Letters;Optical Society of America - OSA Publishing;43;;1918-1921;;;;;;;en;false
hal-02111368;1;https://hal.archives-ouvertes.fr/hal-02111368;ART;;;Expanded microchannel heat exchanger: Non-destructive evaluation;;David Denkenberger,Michael Brandemuehl,Joshua Pearce,John Zhai;2018;0.spi,0.spi,1.spi.nano;Heat Transfer Engineering;Taylor & Francis;;;;;;;;;;en;false
hal-02064596;1;https://hal.archives-ouvertes.fr/hal-02064596;ART;10.12945/j.aorta.2015.14-059;;Maximum Diameter of Native Abdominal Aortic Aneurysm Measured by Angio-Computed Tomography;;Caroline Mora,Claude Marcus,Coralie Barbe,Fiona Ecarnot,Claude Long;24/09/2018;0.sdv;AORTA;;3;;47-55;;;;;;;en;false
hal-01980260;1;https://hal.archives-ouvertes.fr/hal-01980260;ART;10.1016/j.conbuildmat.2018.10.219;;Mass diffusivity determination of various building materials based on inverse analysis of relative humidity evolution at the back face of a sample;;Arnaud Challansonnex,Floran Pierre,Joel Casalinho,Pin Lu,Patrick Perre;2018-12;0.spi,0.spi,1.spi.mat;Construction and Building Materials;Elsevier;193;;539-546;Mass diffusivity,Relative humidity,Renewable materials,Sorption isotherm,Tomography,Tortuosity,Coupled transfer;Mass diffusivity,Relative humidity,Renewable materials,Sorption isotherm,Tomography,Tortuosity,Coupled transfer;;;;;en;false
hal-02078939;1;https://hal.archives-ouvertes.fr/hal-02078939;ART;;;Improved Peritoneal Cavity and Abdominal Organ Imaging Using a Biphasic Contrast Agent Protocol and Spectral Photon Counting Computed Tomography K-Edge Imaging;;S. Si-Mohamed,A. Thivolet,P. E. Bonnot,D. Bar-Ness,V. Kepenekian,D. P. Cormode,Philippe Douek,P. Rousset;2018;0.sdv,1.sdv.ib,2.sdv.ib.ima;Invest Radiol;;53;;629--639;;;;;;;en;false
hal-01864373;1;https://hal.archives-ouvertes.fr/hal-01864373;ART;10.5194/tc-12-2481-2018;;Pore morphology of polar firn around closure revealed by X-ray tomography;;Alexis Burr,Clément Ballot,Pierre Lhuissier,Patricia Martinerie,Christophe L. Martin,Armelle Philip;2018;0.spi,1.spi.mat,0.sdu,1.sdu.stu,2.sdu.stu.gl,0.spi,1.spi.meca,2.spi.meca.mema;The Cryosphere;Copernicus;12;;2481-2500;;;;;;;en;false
hal-01730394;1;https://hal-amu.archives-ouvertes.fr/hal-01730394;ART;10.1038/s41598-018-21862-4;;Multi-scale X-ray computed tomography to detect and localize metal-based nanomaterials in lung tissues of in vivo exposed mice;;Perrine Chaurand,Wei Liu,Daniel Borschneck,Clément Levard,Melanie Auffan,Emmanuel Paul,Blanche Collin,Isabelle Kieffer,Sophie Lanone,Jérôme Rose,Jeanne Perrin;13/03/2018;0.sde,1.sde.es;Scientific Reports;Nature Publishing Group;8;;;Contrast,Ct,Resolution,Artifacts,Visualization,Nanoparticles,Systems;Contrast,Ct,Resolution,Artifacts,Visualization,Nanoparticles,Systems,Soft-tissue,Biology,Cells;Soft-tissue,Biology,Cells;;;;en;false
hal-01738081;1;https://hal.uca.fr/hal-01738081;ART;10.1016/j.margeo.2017.04.011;;Scenario of the 1996 volcanic tsunamis in Karymskoye Lake\, Kamchatka\, inferred from X-ray tomography of heavy minerals in tsunami deposits;;Simon Falvard,Raphael Paris,Marina Belousov,Alexander Belousov,Thomas Giachetti,Stéphanie Cuven;2018-02;0.sdu,1.sdu.stu,2.sdu.stu.vo;Marine Geology;Elsevier;396;;160 - 170;Lake,Karymskoye,Tsunami,Phreato-magmatic eruption,Heavy minerals,X-ray tomography;Lake,Karymskoye,Tsunami,Phreato-magmatic eruption,Heavy minerals,X-ray tomography;;;;;en;false
hal-01936837;1;https://hal-mines-albi.archives-ouvertes.fr/hal-01936837;ART;10.1021/acs.cgd.8b01309;;Synchrotron X-ray In Situ Tomography of Thermally Induced Phase Separation of Polylactic Acid in 1\,4-Dioxane Solution;;Swann Gay,Brice Calvignac,Landry Ouanssi Kamtcheu,Thomas Beuvier,Elodie Boller,Martial Sauceau,Sylvie del Confetto,Franck Boury,Alain Gibaud;2018;0.chim,1.chim.poly;Crystal Growth & Design;American Chemical Society;18;;7496-7503;;;;;;;en;false
hal-02976377;1;https://hal.archives-ouvertes.fr/hal-02976377;ART;10.1038/s41598-018-27636-2;;In-situ\, time resolved monitoring of uranium in BFS:OPC grout. Part 2: Corrosion in water;;C. A. Stitt,C. Paraskevoulakos,A. Banos,N. J. Harker,K. R. Hallam,H. Pullin,A. Davenport,S. Street,T. B. Scott;2018;0.sdv;Scientific Reports;Nature Publishing Group;8;;9282-1-9282-12;CEMENT,VAPOR,IMMOBILIZATION,TEMPERATURES,MECHANISMS,OXYGEN;CEMENT,VAPOR,IMMOBILIZATION,TEMPERATURES,MECHANISMS,OXYGEN;;;;;en;false
hal-01791575;1;https://hal.archives-ouvertes.fr/hal-01791575;ART;10.1161/CIRCIMAGING.118.007626;;Beyond Standard Echocardiography in Infective Endocarditis Computed Tomography\, 3-Dimensional Imaging\, and Multi-Imaging;;Erwan Salaun,Gilbert Habib;2018;0.sdv,1.sdv.mhep,2.sdv.mhep.mi;Circulation: Cardiovascular Imaging;American Heart Association;11;;;;;;;;;en;false
hal-01401408;3;https://hal.archives-ouvertes.fr/hal-01401408v3;ART;;;An Anisotropic Inf-Convolution BV type model for dynamic reconstruction.;;Maïtine Bergounioux,E Papoutsellis;2018;0.math,1.math.math-oc,0.math,1.math.math-fa,0.info,1.info.info-im;SIAM Journal on Imaging Sciences;Society for Industrial and Applied Mathematics;;;;Spatio-temporal Variational Regularization,Infimal Convolution Total Variation,Anisotropic Total variation;Spatio-temporal Variational Regularization,Infimal Convolution Total Variation,Anisotropic Total variation;;;;;en;false
hal-02055869;1;https://hal.univ-brest.fr/hal-02055869;ART;;;Hybrid Magnetic Resonance Imaging and Positron Emission Tomography With Fluorodeoxyglucose to Diagnose Active Cardiac Sarcoidosis;;Marc Dweck,Ronan Abgral,Maria Giovanna Trivieri,Philip Robson,Nicolas Karakatsanis,Venkatesh Mani,Anna Palmisano,Marc Miller,Anuradha Lala,Helena Chang,Javier Sanz,Johanna Contreras,Jagat Narula,Valentin Fuster,Maria Padilla,Zahi Fayad,Jason Kovacic;2018-01;0.sdv,0.sdv,1.sdv.ib,0.sdv,1.sdv.ib,2.sdv.ib.mn;JACC: Cardiovascular Imaging;Elsevier/American College of Cardiology;11;;94-107;;;;;;;en;false
hal-02059474;1;https://hal.univ-brest.fr/hal-02059474;ART;10.3324/haematol.2018.196121;;Computed tomography pulmonary angiography versus ventilation-perfusion lung scanning for diagnosing pulmonary embolism during pregnancy: a systematic review and meta-analysis;;Cécile Tromeur,Liselotte van der Pol,Pierre-Yves Le Roux,Yvonne Ende-Verhaar,Pierre-Yves Salaun,Christophe Leroyer,Francis Couturaud,Lucia J.M. Kroft,Menno Huisman,Frederikus Klok;31/12/2018;0.sdv,0.sdv,1.sdv.mhep,0.sdv,1.sdv.mhep,2.sdv.mhep.csc;Haematologica;Ferrata Storti Foundation;104;;176-188;;;;;;;en;false
hal-02104306;1;https://hal-unilim.archives-ouvertes.fr/hal-02104306;ART;10.1088/1757-899X/416/1/012054;;Micromechanical Behaviour of Asphalt Concrete Based on X-ray Computed Tomography Images and Random Generation of Heterogeneous Aggregates Skeleton;;Y El Haloui,F Tehrani,J Absi,F Courreges,M Elomari,F Allou,Ch Petit;01/09/2018;0.chim,1.chim.mate,0.spi,1.spi.mat;IOP Conference Series: Materials Science and Engineering;IOP Publishing;416;;12054;;;;;;;en;false
hal-02023489;1;https://hal.archives-ouvertes.fr/hal-02023489;ART;10.1364/josaa.35.000748;;Unified description of three-dimensional optical diffraction microscopy: from transmission microscopy to optical coherence tomography: tutorial;;Jerome Mertz,Anne Sentenac;2018;0.phys,1.phys.phys,2.phys.phys.phys-optics;Journal of the Optical Society of America. A Optics, Image Science, and Vision;Optical Society of America;35;;748;;;;;;;en;false
hal-01651949;1;https://hal.inria.fr/hal-01651949;ART;;;On the Suitability of 6TiSCH for Wireless Seismic Data Streaming;;Xavier Vilajosana,Borja Martinez,Ignasi Vilajosana,Thomas Watteyne;17/01/2018;0.info,1.info.info-es,0.info,1.info.info-ni;Internet Technology Letters;Wiley;;;;Low Powe,Wireless Data transmission,Passive seismic,IETF 6TiSCH,Wireless seismic data acquisition;Low Powe,Wireless Data transmission,Passive seismic,IETF 6TiSCH,Wireless seismic data acquisition;;;;;en;false
hal-02402552;1;https://hal.archives-ouvertes.fr/hal-02402552;ART;10.1007/s12666-018-1409-6;;4D Nano-Tomography for Fundamental Studies in Solidification of Aluminium-Based Alloys;;R. Daudin,J. Villanova,Pierre Lhuissier,S. Terzi,R. Kumar,R. Tucoulou,L. Salvo;2018-11;0.spi,1.spi.mat,0.spi,1.spi.gproc;Transactions of the Indian Institute of Metals;;71;;2765-2769;;;;;;;en;false
hal-01789233;1;https://hal.archives-ouvertes.fr/hal-01789233;ART;;;3D textile reinforced composites: From manufacturing process to structural design;;Dmytro Vasiukov,Yang Liu,Chung-Hae Park,Patricia Krawczak;2018;0.spi,1.spi.mat,0.spi,1.spi.meca,2.spi.meca.mema,0.spi;JEC Composites Magazine;JEC Group;121;;67-69;3D textiles,Mechanical behaviour,Composites,Micro-computed tomography,Modelling,Numercal simulation,Manufacturing,Defects;3D textiles,Mechanical behaviour,Composites,Micro-computed tomography,Modelling,Numercal simulation,Manufacturing,Defects;;;;;en;false
hal-01879051;1;https://hal.archives-ouvertes.fr/hal-01879051;ART;10.4028/www.scientific.net/KEM.774.149;;Damage Assessment of Spinal Bones Due to Prostate Cancer;;Octavio Andrés González Estrada,Sergio Andrés Ardila Parra,Jabid Quiroga;01/08/2018;0.spi,1.spi.meca,2.spi.meca.stru;Key Engineering Materials;Trans Tech Publications;774;;149 - 154;FEA,Bone damage,Bone segmentation,Spinal,Metastasis;FEA,Bone damage,Bone segmentation,Spinal,Metastasis;;;;;en;false
hal-02648809;1;https://hal.univ-angers.fr/hal-02648809;ART;10.22037/uj.v0i0.3902;;Mesalazine: A Novel Etiology For Drug-Induced Urinary Calculi;;Blaise Corbery,Souhil Lebdai,Shahed Borojeni,Pierre Bigot,Abdel Rahmene Azzouzi,Thibaut Culty;2018;0.sdv;Urology Journal;;15;;132-133;Anti-Inflammatory Agents,Non-Steroidal,Female,Humans,Mesalamine,Urinary Calculi,Young Adult;Anti-Inflammatory Agents,Non-Steroidal,Female,Humans,Mesalamine,Urinary Calculi,Young Adult;;;;;en;false
hal-02005721;1;https://hal.archives-ouvertes.fr/hal-02005721;ART;;;Incorporation of an ultrasound and model guided permissible region improves quantitative source recovery in bioluminescence tomography;;Baptiste Jayet,Stephen P. Morgan,Hamid Dehghani;2018;0.phys,1.phys.phys,2.phys.phys.phys-optics,0.spi,1.spi.opti;Biomedical optics express;Optical Society of America - OSA Publishing;9;;1360;;;;;;;en;false
hal-01337551;2;https://hal.archives-ouvertes.fr/hal-01337551v2;ART;;;Automatic choice of the threshold of a grain filter via Galton-Watson trees. Application to granite cracks detection;;Romain Abraham,Maïtine Bergounioux,Pierre Debs;2018-01;0.math,1.math.math-pr,0.info,1.info.info-ti;Journal of Mathematical Imaging and Vision;Springer Verlag;6;;50-69;Grain filter,Image processing,Galton-Watson,Cracks;Grain filter,Image processing,Galton-Watson,Cracks;;;;;en;false
hal-02391931;1;https://hal.archives-ouvertes.fr/hal-02391931;ART;10.1111/jmi.12718;;Quantitative 3D comparison of biofilm imaged by X-ray micro-tomography and two-photon laser scanning microscopy;;A.E. Larue,P. Swider,P. Duru,D. Daviaud,M. Quintard,Y. Davit;2018-09;0.spi,1.spi.meca,2.spi.meca.biom,0.phys,1.phys.meca,2.phys.meca.mefl;Journal of Microscopy;Wiley;271;;302-314;;;;;;;en;false
hal-02113104;1;https://hal.archives-ouvertes.fr/hal-02113104;ART;10.1016/j.conbuildmat.2018.05.142;;Characterization of EPS lightweight concrete microstructure by X-ray tomography with consideration of thermal variations;;Maroua Maaroufi,Kamilia Abahri,Chady El Hachem,Rafik Belarbi;2018-07;0.spi,1.spi.meca,2.spi.meca.ther;Construction and Building Materials;Elsevier;178;;339-348;;;;;;;en;false
hal-01790845;1;https://hal.umontpellier.fr/hal-01790845;ART;10.1097/MNM.0000000000000782;;Area at risk can be assessed by iodine-123-meta-iodobenzylguanidine single-photon emission computed tomography after myocardial infarction;;Christophe Hédon,Fabien Huet,Fayçal Ben Bouallègue,Hélène Vernhet,Jean-Christophe Macia,Thien-Tri Cung,Florence Leclercq,Stéphane Cade,Frédéric Cransac,Benoit Lattuca,d'Arcy Vandenberghe,Aurélie Bourdon,Meriem Benkiran,Fabien Vauchot,Richard Gervasoni,Emmanuel d'Estanque,Denis Mariano-Goulart,François Roubille;2018;0.sdv;Nuclear Medicine Communications;Lippincott, Williams & Wilkins;;;118-124;;;;;;;en;false
hal-02976306;1;https://hal.archives-ouvertes.fr/hal-02976306;ART;10.1107/S1600577518000607;;Real-time diffraction computed tomography data reduction;;J. Kieffer,S. Petitdemange,T. Vincent;2018;0.phys;Journal of Synchrotron Radiation;International Union of Crystallography;25;;612-617;Powder diffraction,Diffractionimaging,Pilatus detector,Image compression,Azimuthal integration,PyFAI,FabIO,Silx;Powder diffraction,Diffractionimaging,Pilatus detector,Image compression,Azimuthal integration,PyFAI,FabIO,Silx;;;;;en;false
hal-02974820;1;https://hal.archives-ouvertes.fr/hal-02974820;ART;10.1107/S2053273318094470;;Insights into water-rock interactions in meteorites from diffraction tomography;;Elmaleh A,Wright Jp,Baptiste B,Tarantino Sc,Doisneau B,Elkaim E,Troadec D;2018;0.spi,0.sdu;Acta Crystallogr. Sect. A;;74;;E47--E48;Carbonaceous chondrites,Synchrotron,XRD;Carbonaceous chondrites,Synchrotron,XRD;;;;;en;false
hal-01822568;1;https://hal.univ-reims.fr/hal-01822568;ART;10.1016/j.crad.2018.02.001;;What the radiologist should know about postoperative MDCT evaluation of a patient treated with cytoreductive surgery with or without hyperthermic intraperitoneal chemotherapy;;C. Durot,P. Rousset,A. Thivolet,G. Passot,S. Deguelte,A Dohan,O. Glehen,Christine Hoeffel;2018;0.sdv,1.sdv.ib,2.sdv.ib.ima;Clinical Radiology;WB Saunders;73;;517-525;;;;;;;en;false
hal-01700842;1;https://hal.archives-ouvertes.fr/hal-01700842;ART;10.1111/srt.12406;;Thickness and morphology assessment of nail polishes applied on nails by high-definition optical coherence tomography;;C. Monpeurt,E. Cinotti,M. Hébert,J. Razafindrakoto,P. Rubegni,M. Fimiani,J.L. Perrot;2018-02;0.spi,1.spi.opti;Skin Research and Technology;Wiley;24;;156 - 157;;;;;;;en;false
hal-01858909;1;https://hal.archives-ouvertes.fr/hal-01858909;ART;10.1016/j.ijid.2018.05.018;;Isolation of Coxiella burnetii from an acromioclavicular infection with low serological titres;;Clea Melenotte,Geraldine Bart,Francoise Kraeber-Bodere,Serge Cammilleri,Benoit Le Goff,Didier Raoult;2018;0.sdv,1.sdv.mhep,2.sdv.mhep.mi;International Journal of Infectious Diseases;Elsevier;73;;27-29;Acromio-clavicular infection,Q fever serology,Coxiella burnetii,Q fever;Acromio-clavicular infection,Q fever serology,Coxiella burnetii,Q fever;;;;;en;false
hal-01829581;1;https://hal.univ-lorraine.fr/hal-01829581;ART;10.1039/c8fd00019k;;Investigation of modified Nanopore Arrays by FIB/SEM Tomography;;Grégoire Herzog,Angelika Holzinger,Gregor Neusser,Benjamin J.J. Austen,Alonso Gamero-Quijano,Damien W.M. Arrigan,Andreas Ziegler,Paul Walther,Christine Kranz;2018;0.chim,1.chim.theo;Faraday Discussions;Royal Society of Chemistry;;;;;;;;;;en;false
hal-01793398;1;https://hal.umontpellier.fr/hal-01793398;ART;;;Occurrence of Incomplete Endothelialization Causing Residual Permeability After Left Atrial Appendage Closure.;;Mathieu Granier,Guillaume Laugaudin,François Massin,Stéphane Cade,Pierre François Winum,Cornelia Freitag,Jean-Luc Pasquié;15/05/2018;0.sdv;Journal of Invasive Cardiology;Health Management Publications, Inc.;;;;;;;;;;en;false
hal-02871793;1;https://hal.archives-ouvertes.fr/hal-02871793;ART;10.1093/rpd/ncx213;;Patient exposure from nuclear medicine in France National follow-up and influence of the technology through diagnostic reference levels data analysis;;P. Roch,D. Célier,C. Dessaud,C. Etard;01/04/2018;0.sdv;Radiation Protection Dosimetry;;179;;87-94;;;;;;;en;false
hal-02083836;1;https://hal.archives-ouvertes.fr/hal-02083836;ART;10.1088/1361-6420/aad344;;Combining radon transform and electrical capacitance tomography for a 2d+1 imaging device;;Yves Capdeboscq,Hrand Mamigonians,Aslam Sulaimalebbe,Vahe Tshitoyan;2018;0.math,1.math.math-ap,0.math,1.math.math-na;Inverse Problems;;34;;104001, 14;;;;;;;en;false
hal-01957104;1;https://hal.archives-ouvertes.fr/hal-01957104;ART;10.1103/PhysRevB.97.220505;;Berry curvature tomography and realization of topological Haldane model in driven three-terminal Josephson junctions;;Lucila Peralta Gavensky,Gonzalo Usaj,D. Feinberg,C. Balseiro;2018-06;0.phys,1.phys.cond,2.phys.cond.cm-msqhe,0.phys,1.phys.cond,2.phys.cond.cm-sce,0.phys,1.phys.qphy;Physical Review B;American Physical Society;97;;220505(R);;;;;;;en;false
hal-01812662;1;https://hal.archives-ouvertes.fr/hal-01812662;ART;10.1016/j.ultramic.2018.03.022;;Evaluation of noise and blur effects with SIRT-FISTA-TV reconstruction algorithm: Application to fast environmental transmission electron tomography;;Hussein Banjak,Thomas Grenier,Thierry Epicier,Siddardha Koneti,Lucian Roiban,Anne-Sophie Gay,Isabelle Magnin,Françoise Peyrin,Voichita Maxim;2018-06;0.info,1.info.info-im,0.info,1.info.info-ts;Ultramicroscopy;Elsevier;189;;109 - 123;Nanocatalysts,Fast acquisition,Environmental TEM,Electron tomography,Iterative reconstruction;Nanocatalysts,Fast acquisition,Environmental TEM,Electron tomography,Iterative reconstruction;;;;;en;false
hal-01977770;1;https://hal.archives-ouvertes.fr/hal-01977770;ART;10.1016/j.conbuildmat.2017.12.209;;Investigation on the mechanical behavior of track-bed materials at various contents of coarse grains;;Han-Lin Wang,Yu-Jun Cui,Francisco Lamas-Lopez,Nicolas Calon,Gilles Saussine,Jean Claude Dupla,Jean Canou,Patrick Aimedieu,Ren-Peng Chen;2018-03;0.sde,1.sde.ie;Construction and Building Materials;Elsevier;164;;228-237;Conventional track-bed,Interlayer soil,Monotonic triaxial tests,X-ray microcomputed tomography ?CT scans,Characteristic volumetric content of coarse grains;Conventional track-bed,Interlayer soil,Monotonic triaxial tests,X-ray microcomputed tomography ?CT scans,Characteristic volumetric content of coarse grains;;;;;en;false
hal-01780698;1;https://hal-enpc.archives-ouvertes.fr/hal-01780698;ART;10.1111/str.12276;;DVC-based image subtraction to detect microcracking in lightweight concrete;;Camille Chateau,Thanh Tung Nguyen,Michel Bornert,Julien Yvonnet;2018;0.phys,1.phys.meca,2.phys.meca.mema;Strain;Wiley-Blackwell;54;;e12276;Damage,Digital volume correlation,In situ compression,Lightweight concrete,X-ray tomography;Damage,Digital volume correlation,In situ compression,Lightweight concrete,X-ray tomography;;;;;en;false
hal-01895339;1;https://hal.archives-ouvertes.fr/hal-01895339;ART;10.1016/j.cemconcomp.2018.08.001;;Determining chloride content profiles in concrete using an electrical resistivity tomography device;;Milia Fares,Géraldine Villain,Stéphanie Bonnet,Sergio Palma-Lopes,Benoit Thauvin,Mickaël Thiery;01/01/2018;0.spi;Cement and Concrete Composites;Elsevier;94;;pp. 315-326;RESISTIVITY,CHLORIDE,NDT,DIFFUSION,CONCRETE DURABILITY;RESISTIVITY,CHLORIDE,NDT,DIFFUSION,CONCRETE DURABILITY,CHLORURE,CONTROLE NON DESTRUCTIF,RESISTIVITE,DURABILITE,BETON;CHLORURE,CONTROLE NON DESTRUCTIF,RESISTIVITE,DURABILITE,BETON;;;;en;false
hal-02324220;1;https://hal.archives-ouvertes.fr/hal-02324220;ART;10.1016/j.jappgeo.2018.02.024;;Finding buried metallic pipes using a non-destructive approach based on 3D time-domain induced polarization data;;Zhenlu Shao,André Revil,Deqiang Mao,Deming Wang;2018-04;0.sdu,1.sdu.stu,2.sdu.stu.gp,0.sde,1.sde.ie;Journal of Applied Geophysics;Elsevier;151;;234-245;Inversion,Underground utilities,Pipe,Induced polarization,Inversion;Inversion,Underground utilities,Pipe,Induced polarization,Inversion;;;;;en;false
hal-02324224;1;https://hal.archives-ouvertes.fr/hal-02324224;ART;10.1016/j.jhydrol.2018.10.019;;Coupled hydrogeophysical inversion of DNAPL source zone architecture and permeability field in a 3D heterogeneous sandbox by assimilation time-lapse cross-borehole electrical resistivity data via ensemble Kalman filtering;;Xueyuan Kang,Xiaoqing Shi,Yaping Deng,André Revil,Hongxia Xu,Jichun Wu;2018;0.sdu,1.sdu.stu,2.sdu.stu.hy,0.sdu,1.sdu.stu,2.sdu.stu.gp,0.sde,1.sde.ie;Journal of Hydrology;Elsevier;567;;149-164;Dense non-aqueous phase liquids,Electrical resistivity tomography,Joint inversion,Subsurface heterogeneity,Containment source architecture,Dense non-aqueous phase liquids;Dense non-aqueous phase liquids,Electrical resistivity tomography,Joint inversion,Subsurface heterogeneity,Containment source architecture,Dense non-aqueous phase liquids;;;;;en;false
hal-01916304;1;https://hal.archives-ouvertes.fr/hal-01916304;ART;10.1016/j.commatsci.2018.06.017;;Gas permeability of Ti6Al4V foams prepared via gelcasting\, experiments and modelling;;J. Lux,E. Moraes,E. Maire,Jérôme Adrien,L. Biasetto;2018;0.spi,1.spi.mat,0.spi,1.spi.meca;Computational Materials Science;;152;;363-373;Geometrical surfaces,Functional properties,X rays,Vanadium alloys,Titanium alloys,Ternary alloys,Porosity,Newtonian liquids,Morphology,Metal foams,Mechanical permeability,Computerized tomography,Computational fluid dynamics,Aluminum alloys,Interconnectivity,Irregular structures,Newtonian fluids,Permeability properties,Porous structures,X-ray computed tomography,Gas permeability;Geometrical surfaces,Functional properties,X rays,Vanadium alloys,Titanium alloys,Ternary alloys,Porosity,Newtonian liquids,Morphology,Metal foams,Mechanical permeability,Computerized tomography,Computational fluid dynamics,Aluminum alloys,Interconnectivity,Irregular structures,Newtonian fluids,Permeability properties,Porous structures,X-ray computed tomography,Gas permeability;;;;;en;false
hal-02441606;1;https://hal.archives-ouvertes.fr/hal-02441606;ART;10.1016/j.jviscsurg.2018.02.005;;One-day diagnosis for hepatobiliary and pancreatic lesions: An innovative patient-centered care pathway organization;;Patrick Pessaux,V Faucher,R Cuny,M Stephan,F Klein,C Gonzalez,S Blanes,E Leost,B Delattre,C Lugiez;2018;0.sdv,1.sdv.mhep;Journal of Visceral Surgery;Elsevier;155;;439-443;Aged,Anesthesiology,Biliary Tract Diseases/diagnostic imaging/surgery,Critical Pathways/organization and administration,Early Diagnosis,Female,Humans,Magnetic Resonance Imaging,Male,Organizational Innovation,Pancreatic Diseases/diagnostic imaging/surgery,Patient Satisfaction,Patient-Centered Care/organization and administration,Program Evaluation,Prospective Studies,Referral and Consultation,Time Factors,Tomography,X-Ray Computed,Care pathways,Diagnosis,Hepatobiliary,Innovation,Organization,Pancreas;Aged,Anesthesiology,Biliary Tract Diseases/diagnostic imaging/surgery,Critical Pathways/organization and administration,Early Diagnosis,Female,Humans,Magnetic Resonance Imaging,Male,Organizational Innovation,Pancreatic Diseases/diagnostic imaging/surgery,Patient Satisfaction,Patient-Centered Care/organization and administration,Program Evaluation,Prospective Studies,Referral and Consultation,Time Factors,Tomography,X-Ray Computed,Care pathways,Diagnosis,Hepatobiliary,Innovation,Organization,Pancreas;;;;;en;false
hal-02076764;1;https://hal.archives-ouvertes.fr/hal-02076764;ART;;;Experimental feasibility of spectral photon-counting computed tomography with two contrast agents for the detection of endoleaks following endovascular aortic repair;;J. Dangelmaier,D. Bar-Ness,H. Daerr,D. Muenzel,S. Si-Mohamed,S. Ehn,A. A. Fingerle,M. A. Kimm,F. K. Kopp,L. Boussel,E. Roessl,F. Pfeiffer,E. J. Rummeny,R. Proksa,P. Douek,P. B. Noel;2018;0.sdv,1.sdv.ib,2.sdv.ib.ima;Eur Radiol;;28;;3318--3325;;;;;;;en;false
